Ordem,País,Ouro,Prata,Bronze,Total
1,USA Estados Unidos,40,44,42,126
2,CHN China,40,27,24,91
3,JPN Japão,20,12,13,45
4,AUS Austrália,18,19,16,53
5,FRA França,16,26,22,64
6,NED Países Baixos,15,7,12,34
7,GBR Grã-Bretanha,14,22,29,65
8,KOR Coreia do Sul,13,9,10,32
9,ITA Itália,12,13,15,40
10,GER Alemanha,12,13,8,33
11,NZL Nova Zelândia,10,7,3,20
12,CAN Canadá,9,7,11,27
13,UZB Uzbequistão,8,2,3,13
14,HUN Hungria,6,7,6,19
15,ESP Espanha,5,4,9,18
16,SWE Suécia,4,4,3,11
17,KEN Quênia,4,2,5,11
18,NOR Noruega,4,1,3,8
19,IRL Irlanda,4,0,3,7
20,BRA Brasil,3,7,10,20
21,IRI Irã,3,6,3,12
22,UKR Ucrânia,3,5,4,12
23,ROU Romênia,3,4,2,9
24,GEO Geórgia,3,3,1,7
25,BEL Bélgica,3,1,6,10
26,BUL Bulgária,3,1,3,7
27,SRB Sérvia,3,1,1,5
28,CZE Chéquia,3,0,2,5
29,DEN Dinamarca,2,2,5,9
30,AZE Azerbaijão,2,2,3,7
30,CRO Croácia,2,2,3,7
32,CUB Cuba,2,1,6,9
33,BRN Barém,2,1,1,4
34,SLO Eslovênia,2,1,0,3
35,TPE Taipé Chinês,2,0,5,7
36,AUT Áustria,2,0,3,5
37,PHI Filipinas,2,0,2,4
37,HKG Hong Kong,2,0,2,4
39,ALG Argélia,2,0,1,3
39,INA Indonésia,2,0,1,3
41,ISR Israel,1,5,1,7
42,POL Polônia,1,4,5,10
43,KAZ Cazaquistão,1,3,3,7
44,RSA África do Sul,1,3,2,6
44,JAM Jamaica,1,3,2,6
44,THA Tailândia,1,3,2,6
–,AIN Atletas Individuais Neutros,1,3,1,5
47,ETH Etiópia,1,3,0,4
48,SUI Suíça,1,2,5,8
49,ECU Equador,1,2,2,5
50,POR Portugal,1,2,1,4
51,GRE Grécia,1,1,6,8
52,ARG Argentina,1,1,1,3
52,EGY Egito,1,1,1,3
52,TUN Tunísia,1,1,1,3
55,BOT Botsuana,1,1,0,2
55,CHI Chile,1,1,0,2
55,LCA Santa Lúcia,1,1,0,2
55,UGA Uganda,1,1,0,2
59,DOM República Dominicana,1,0,2,3
60,GUA Guatemala,1,0,1,2
60,MAR Marrocos,1,0,1,2
62,DMA Dominica,1,0,0,1
62,PAK Paquistão,1,0,0,1
64,TUR Turquia,0,3,5,8
65,MEX México,0,3,2,5
66,ARM Armênia,0,3,1,4
67,COL Colômbia,0,3,1,4
68,PRK Coreia do Norte,0,2,4,6
68,KGZ Quirguistão,0,2,4,6
70,LTU Lituânia,0,2,2,4
71,IND Índia,0,1,5,6
72,MDA Moldávia,0,1,3,4
73,KOS Kosovo,0,1,1,2
74,CYP Chipre,0,1,0,1
74,FIJ Fiji,0,1,0,1
74,JOR Jordânia,0,1,0,1
74,MGL Mongólia,0,1,0,1
74,PAN Panamá,0,1,0,1
79,TJK Tajiquistão,0,0,3,3
80,ALB Albânia,0,0,2,2
80,GRN Granada,0,0,2,2
80,MAS Malásia,0,0,2,2
80,PUR Porto Rico,0,0,2,2
84,CPV Cabo Verde,0,0,1,1
84,QAT Catar,0,0,1,1
84,CIV Costa do Marfim,0,0,1,1
84,EOR Equipe Olímpica de Refugiados,0,0,1,1
84,SVK Eslováquia,0,0,1,1
84,PER Peru,0,0,1,1
84,SGP Singapura,0,0,1,1
84,ZAM Zâmbia,0,0,1,1
