Ordem,País,Ouro,Prata,Bronze,Total
1,USA Estados Unidos,44,32,25,101
2,RUS Rússia,26,21,16,63
3,GER Alemanha,20,18,27,65
4,CHN China,16,22,12,50
5,FRA França,15,7,15,37
6,ITA Itália,13,10,12,35
7,AUS Austrália,9,9,23,41
8,CUB Cuba,9,8,8,25
9,UKR Ucrânia,9,2,12,23
10,KOR Coreia do Sul,7,15,5,27
11,POL Polônia,7,5,5,17
12,HUN Hungria,7,4,10,21
13,ESP Espanha,5,6,6,17
14,ROU Romênia,4,7,9,20
15,NED Países Baixos,4,5,10,19
16,GRE Grécia,4,4,0,8
17,CZE República Checa,4,3,4,11
18,SUI Suíça,4,3,0,7
19,DEN Dinamarca,4,1,1,6
19,TUR Turquia,4,1,1,6
21,CAN Canadá,3,11,8,22
22,BUL Bulgária,3,7,5,15
23,JPN Japão,3,6,5,14
24,KAZ Cazaquistão,3,4,4,11
25,BRA Brasil,3,3,9,15
26,NZL Nova Zelândia,3,2,1,6
27,RSA África do Sul,3,1,1,5
28,IRL Irlanda,3,0,1,4
29,SWE Suécia,2,4,2,8
30,NOR Noruega,2,2,3,7
31,BEL Bélgica,2,2,2,6
32,NGR Nigéria,2,1,3,6
33,PRK Coreia do Norte,2,1,2,5
34,ALG Argélia,2,0,1,3
34,ETH Etiópia,2,0,1,3
36,GBR Grã-Bretanha,1,8,6,15
37,BLR Bielorrússia,1,6,8,15
38,KEN Quênia,1,4,3,8
39,JAM Jamaica,1,3,2,6
40,FIN Finlândia,1,2,1,4
41,INA Indonésia,1,1,2,4
41,YUG Iugoslávia,1,1,2,4
43,IRI Irã,1,1,1,3
43,SVK Eslováquia,1,1,1,3
45,ARM Armênia,1,1,0,2
45,CRO Croácia,1,1,0,2
47,POR Portugal,1,0,1,2
47,THA Tailândia,1,0,1,2
49,BDI Burundi,1,0,0,1
49,CRC Costa Rica,1,0,0,1
49,ECU Equador,1,0,0,1
49,HKG Hong Kong,1,0,0,1
49,SYR Síria,1,0,0,1
54,ARG Argentina,0,2,1,3
55,NAM Namíbia,0,2,0,2
55,SLO Eslovênia,0,2,0,2
57,AUT Áustria,0,1,2,3
58,MAS Malásia,0,1,1,2
58,MDA Moldávia,0,1,1,2
58,UZB Uzbequistão,0,1,1,2
61,AZE Azerbaijão,0,1,0,1
61,BAH Bahamas,0,1,0,1
61,TPE Taipé Chinês,0,1,0,1
61,LAT Letônia,0,1,0,1
61,PHI Filipinas,0,1,0,1
61,TGA Tonga,0,1,0,1
61,ZAM Zâmbia,0,1,0,1
68,GEO Geórgia,0,0,2,2
68,MAR Marrocos,0,0,2,2
68,TRI Trinidad e Tobago,0,0,2,2
71,IND Índia,0,0,1,1
71,ISR Israel,0,0,1,1
71,LTU Lituânia,0,0,1,1
71,MEX México,0,0,1,1
71,MGL Mongólia,0,0,1,1
71,MOZ Moçambique,0,0,1,1
71,PUR Porto Rico,0,0,1,1
71,TUN Tunísia,0,0,1,1
71,UGA Uganda,0,0,1,1
