Ordem,País,Ouro,Prata,Bronze,Total
1,CHN China,95,71,65,231
2,RUS Rússia,36,39,27,102
3,GBR Grã-Bretanha,34,43,43,120
4,UKR Ucrânia,32,24,28,84
5,AUS Austrália,32,22,30,84
6,USA Estados Unidos,31,29,37,97
7,BRA Brasil,21,14,8,43
8,GER Alemanha,18,26,22,66
9,POL Polônia,14,12,9,35
10,IRI Irã,10,7,7,24
11,KOR Coreia do Sul,9,9,9,27
12,ITA Itália,9,8,11,28
13,TUN Tunísia,9,5,5,19
14,CUB Cuba,9,5,3,17
15,FRA França,8,19,18,45
16,ESP Espanha,8,18,16,42
17,RSA África do Sul,8,12,9,29
18,IRL Irlanda,8,3,5,16
19,CAN Canadá,7,16,9,32
20,NZL Nova Zelândia,6,6,4,16
21,NGR Nigéria,6,5,2,13
22,MEX México,6,4,11,21
23,JPN Japão,5,5,6,16
24,BLR Bielorrússia,5,2,4,11
25,ALG Argélia,4,6,9,19
26,AZE Azerbaijão,4,5,3,12
27,EGY Egito,4,4,7,15
28,SWE Suécia,4,4,4,12
29,AUT Áustria,4,3,6,13
30,THA Tailândia,4,2,2,8
31,FIN Finlândia,4,1,1,6
32,SUI Suíça,3,6,4,13
33,HKG Hong Kong,3,3,6,12
34,NOR Noruega,3,2,3,8
35,BEL Bélgica,3,1,3,7
36,MAR Marrocos,3,0,3,6
37,HUN Hungria,2,6,6,14
38,SRB Sérvia,2,3,0,5
39,KEN Quênia,2,2,2,6
40,SVK Eslováquia,2,1,3,6
41,CZE República Checa,1,6,4,11
42,TUR Turquia,1,5,4,10
43,GRE Grécia,1,3,8,12
44,ISR Israel,1,2,5,8
45,UAE Emirados Árabes Unidos,1,1,1,3
46,LAT Letônia,1,1,0,2
47,NAM Namíbia,1,1,0,2
48,ROU Romênia,1,1,0,2
49,DEN Dinamarca,1,0,4,5
50,ANG Angola,1,0,1,2
51,BIH Bósnia e Herzegovina,1,0,0,1
52,CHI Chile,1,0,0,1
53,FIJ Fiji,1,0,0,1
54,ISL Islândia,1,0,0,1
55,JAM Jamaica,1,0,0,1
56,MKD República da Macedônia,1,0,0,1
57,CRO Croácia,0,2,3,5
58,BUL Bulgária,0,2,1,3
59,IRQ Iraque,0,2,1,3
60,COL Colômbia,0,2,0,2
61,ARG Argentina,0,1,4,5
62,POR Portugal,0,1,2,3
63,TPE Taipé Chinês,0,1,2,3
64,MAS Malásia,0,1,1,2
65,SIN Singapura,0,1,1,2
66,KSA Arábia Saudita,0,1,0,1
67,CYP Chipre,0,1,0,1
68,SLO Eslovênia,0,1,0,1
69,ETH Etiópia,0,1,0,1
70,IND Índia,0,1,0,1
71,UZB Uzbequistão,0,1,0,1
72,VEN Venezuela,0,0,2,2
73,INA Indonésia,0,0,1,1
74,SRI Sri Lanka,0,0,1,1
