Ordem,País,Ouro,Prata,Bronze,Total
1,CHN China,89,70,52,211
2,GBR Grã-Bretanha,42,29,31,102
3,USA Estados Unidos,36,35,28,99
4,UKR Ucrânia,24,18,32,74
5,AUS Austrália,23,29,27,79
6,RSA África do Sul,21,3,6,30
7,CAN Canadá,19,20,21,60
8,RUS Rússia,18,23,22,63
9,BRA Brasil,16,14,17,47
10,ESP Espanha,15,21,22,58
11,GER Alemanha,14,25,20,59
12,FRA França,12,21,19,52
13,KOR Coreia do Sul,10,8,13,31
14,MEX México,10,3,7,20
15,TUN Tunísia,9,9,3,21
16,CZE República Checa,6,3,18,27
17,JPN Japão,5,14,8,27
18,POL Polônia,5,12,13,30
19,GRE Grécia,5,9,10,24
20,BLR Bielorrússia,5,7,1,13
21,IRI Irã,5,6,3,14
22,CUB Cuba,5,3,6,14
23,NZL Nova Zelândia,5,3,4,12
24,SWE Suécia,5,3,4,12
25,HKG Hong Kong,5,3,3,11
26,KEN Quênia,5,3,1,9
27,ITA Itália,4,7,7,18
28,EGY Egito,4,4,4,12
29,NGR Nigéria,4,4,1,9
30,ALG Argélia,4,3,8,15
31,MAR Marrocos,4,1,2,7
32,AUT Áustria,4,1,1,6
33,SUI Suíça,3,2,6,11
34,DEN Dinamarca,3,2,4,9
35,IRL Irlanda,3,1,1,5
36,CRO Croácia,3,1,0,4
37,AZE Azerbaijão,2,3,5,10
38,SVK Eslováquia,2,3,1,6
39,FIN Finlândia,2,2,2,6
40,THA Tailândia,1,5,7,13
41,POR Portugal,1,4,2,7
42,NOR Noruega,1,3,3,7
43,CYP Chipre,1,2,1,4
44,LAT Letônia,1,2,0,3
45,SIN Singapura,1,1,2,4
46,VEN Venezuela,1,1,2,4
47,KSA Arábia Saudita,1,1,0,2
48,HUN Hungria,1,0,5,6
49,TPE Taipé Chinês,1,0,1,2
50,TUR Turquia,1,0,1,2
51,MGL Mongólia,1,0,0,1
52,ISR Israel,0,5,1,6
53,ANG Angola,0,3,0,3
54,JOR Jordânia,0,2,2,4
55,LTU Lituânia,0,2,0,2
56,SRB Sérvia,0,2,0,2
57,ARG Argentina,0,1,5,6
58,SLO Eslovênia,0,1,2,3
59,BUL Bulgária,0,1,1,2
60,COL Colômbia,0,1,1,2
61,IRQ Iraque,0,1,1,2
62,BIH Bósnia e Herzegovina,0,1,0,1
63,PAK Paquistão,0,1,0,1
64,PNG Papua-Nova Guiné,0,1,0,1
65,ROU Romênia,0,1,0,1
66,UAE Emirados Árabes Unidos,0,1,0,1
67,LIB Líbano,0,0,2,2
68,BEL Bélgica,0,0,1,1
69,EST Estônia,0,0,1,1
70,JAM Jamaica,0,0,1,1
71,LAO Laos,0,0,1,1
72,MAS Malásia,0,0,1,1
73,NAM Namíbia,0,0,1,1
74,PUR Porto Rico,0,0,1,1
75,SYR Síria,0,0,1,1
