Ordem,País,Ouro,Prata,Bronze,Total
1,Estados Unidos,33,27,39,99
2,Reino Unido,29,20,20,69
3,Israel,18,21,23,62
4,Austrália,15,16,7,38
5,França,13,10,9,32
6,Alemanha,12,11,11,35
7,Itália,12,10,17,39
8,Países Baixos,12,4,4,20
9,Argentina,10,10,10,30
10,África do Sul,9,10,7,26
11,Rodésia,6,7,7,20
12,Canadá,6,6,7,19
13,Noruega,5,3,1,9
14,Jamaica,3,1,1,5
15,Áustria,2,7,11,19
16,Japão,2,2,8,12
17,Suécia,1,6,4,11
18,Nova Zelândia,1,2,1,4
19,Irlanda,0,4,5,9
20,Bélgica,0,3,3,6
21,Espanha,0,3,1,4
22,Suíça,0,2,6,8
