Ordem,País,Ouro,Prata,Bronze,Total
1,CHN China,96,60,51,207
2,GBR Grã-Bretanha,41,38,45,124
3,USA Estados Unidos,37,36,31,104
4,RPC Comitê Paralímpico Russo,36,33,49,118
5,NED Países Baixos,25,17,17,59
6,UKR Ucrânia,24,47,27,98
7,BRA Brasil,22,20,30,72
8,AUS Austrália,21,29,30,80
9,ITA Itália,14,29,26,69
10,AZE Azerbaijão,14,1,4,19
11,JPN Japão,13,15,23,51
12,GER Alemanha,13,12,18,43
13,IRI Irã,12,11,1,24
14,FRA França,11,15,28,54
15,ESP Espanha,9,15,12,36
16,UZB Uzbequistão,8,5,6,19
17,POL Polônia,7,6,12,25
18,HUN Hungria,7,5,4,16
19,SUI Suíça,7,4,3,14
20,MEX México,7,2,13,22
21,NZL Nova Zelândia,6,3,3,12
22,ISR Israel,6,2,1,9
23,CAN Canadá,5,10,6,21
24,IND Índia,5,8,6,19
25,THA Tailândia,5,5,8,18
26,SVK Eslováquia,5,2,4,11
27,BLR Bielorrússia,5,1,1,7
28,TUN Tunísia,4,5,2,11
29,ALG Argélia,4,4,4,12
30,MAR Marrocos,4,4,3,11
31,BEL Bélgica,4,3,8,15
32,IRL Irlanda,4,2,1,7
33,NGR Nigéria,4,1,5,10
34,RSA África do Sul,4,1,2,7
35,CUB Cuba,4,1,1,6
36,JOR Jordânia,4,0,1,5
37,COL Colômbia,3,7,14,24
38,VEN Venezuela,3,2,2,7
39,MAS Malásia,3,2,0,5
40,DEN Dinamarca,3,1,1,5
41,KOR Coreia do Sul,2,10,12,24
42,TUR Turquia,2,4,9,15
43,INA Indonésia,2,3,4,9
44,CZE República Checa,2,3,3,8
45,CHI Chile,2,3,1,6
46,SRB Sérvia,2,3,1,6
47,NOR Noruega,2,0,2,4
48,SGP Singapura,2,0,0,2
49,AUT Áustria,1,5,3,9
50,SWE Suécia,1,5,2,8
51,GRE Grécia,1,3,7,11
52,KAZ Cazaquistão,1,3,1,5
53,FIN Finlândia,1,3,1,5
54,UAE Emirados Árabes Unidos,1,1,1,3
55,CRC Costa Rica,1,1,0,2
56,ECU Equador,1,0,2,3
57,CYP Chipre,1,0,1,2
58,SRI Sri Lanka,1,0,1,2
59,ETH Etiópia,1,0,0,1
60,MGL Mongólia,1,0,0,1
61,PAK Paquistão,1,0,0,1
62,PER Peru,1,0,0,1
63,ARG Argentina,0,5,4,9
64,EGY Egito,0,5,2,7
65,CRO Croácia,0,3,4,7
66,LAT Letônia,0,3,2,5
67,GEO Geórgia,0,3,0,3
68,HKG Hong Kong,0,2,3,5
69,BUL Bulgária,0,2,0,2
70,IRQ Iraque,0,1,2,3
71,SLO Eslovênia,0,1,1,2
72,KUW Kuwait,0,1,1,2
73,NAM Namíbia,0,1,1,2
74,ROU Romênia,0,1,1,2
75,VIE Vietnã,0,1,0,1
76,LTU Lituânia,0,0,3,3
77,POR Portugal,0,0,2,2
78,KSA Arábia Saudita,0,0,1,1
79,BIH Bósnia e Herzegovina,0,0,1,1
80,QAT Catar,0,0,1,1
81,ESA El Salvador,0,0,1,1
82,MNE Montenegro,0,0,1,1
83,OMA Omã,0,0,1,1
84,KEN Quênia,0,0,1,1
85,TPE Taipé Chinês,0,0,1,1
86,UGA Uganda,0,0,1,1
