Ordem,País,Ouro,Prata,Bronze,Total
1,EUN Equipa Unificada,45,38,29,112
2,USA Estados Unidos,37,34,37,108
3,GER Alemanha,33,21,28,82
4,CHN China,16,22,16,54
5,CUB Cuba,14,6,11,31
6,ESP Espanha,13,7,2,22
7,KOR Coreia do Sul,12,5,12,29
8,HUN Hungria,11,12,7,30
9,FRA França,8,5,16,29
10,AUS Austrália,7,9,11,27
11,CAN Canadá,7,4,7,18
12,ITA Itália,6,5,8,19
13,GBR Grã-Bretanha,5,3,12,20
14,ROU Romênia,4,6,8,18
15,TCH Checoslováquia,4,2,1,7
16,PRK Coreia do Norte,4,0,5,9
17,JPN Japão,3,8,11,22
18,BUL Bulgária,3,7,6,16
19,POL Polônia,3,6,10,19
20,NED Países Baixos,2,6,7,15
21,KEN Quênia,2,4,2,8
22,NOR Noruega,2,4,1,7
23,TUR Turquia,2,2,2,6
24,INA Indonésia,2,2,1,5
25,BRA Brasil,2,1,0,3
26,GRE Grécia,2,0,0,2
27,SWE Suécia,1,7,4,12
28,NZL Nova Zelândia,1,4,5,10
29,FIN Finlândia,1,2,2,5
30,DEN Dinamarca,1,1,4,6
31,MAR Marrocos,1,1,1,3
32,IRL Irlanda,1,1,0,2
33,ETH Etiópia,1,0,2,3
34,ALG Argélia,1,0,1,2
34,EST Estônia,1,0,1,2
34,LTU Lituânia,1,0,1,2
37,SUI Suíça,1,0,0,1
38,JAM Jamaica,0,3,1,4
38,NGR Nigéria,0,3,1,4
40,LAT Letônia,0,2,1,3
41,AUT Áustria,0,2,0,2
41,NAM Namíbia,0,2,0,2
41,RSA África do Sul,0,2,0,2
44,BEL Bélgica,0,1,2,3
44,CRO Croácia,0,1,2,3
44,IOP Participantes Olímpicos Independentes,0,1,2,3
44,IRI Irã,0,1,2,3
48,ISR Israel,0,1,1,2
49,TPE Taipé Chinês,0,1,0,1
49,MEX México,0,1,0,1
49,PER Peru,0,1,0,1
52,MGL Mongólia,0,0,2,2
52,SLO Eslovênia,0,0,2,2
54,ARG Argentina,0,0,1,1
54,BAH Bahamas,0,0,1,1
54,COL Colômbia,0,0,1,1
54,GHA Gana,0,0,1,1
54,MAS Malásia,0,0,1,1
54,PAK Paquistão,0,0,1,1
54,PHI Filipinas,0,0,1,1
54,PUR Porto Rico,0,0,1,1
54,QAT Catar,0,0,1,1
54,SUR Suriname,0,0,1,1
54,THA Tailândia,0,0,1,1
