Ordem,País,CPN,Ouro,Prata,Bronze,Total
1,United States of America,USA,75,52,48,175
2,Germany,GER,61,51,59,171
3,Great Britain,GBR,40,47,41,128
4,France,FRA,36,36,34,106
5,Spain,ESP,34,31,42,107
6,Canada,CAN,28,21,26,75
7,Australia,AUS,24,27,25,76
8,Unified Team,EUN,16,14,15,45
9,Netherlands,NED,14,14,11,39
10,Norway,NOR,13,13,7,33
11,Denmark,DEN,12,22,12,46
12,Republic of Korea,KOR,11,15,18,44
13,People's Republic of China,CHN,11,7,7,25
14,Poland,POL,10,12,10,32
15,Italy,ITA,10,7,18,35
16,Japan,JPN,8,7,15,30
17,Finland,FIN,8,6,11,25
18,Sweden,SWE,7,22,9,38
19,Egypt,EGY,7,6,7,20
20,Switzerland,SUI,6,16,13,35
21,Belgium,BEL,5,5,7,17
22,Austria,AUT,5,4,13,22
23,New Zealand,NZL,5,1,0,6
24,Czechoslovakia,TCH,4,3,6,13
25,Hungary,HUN,4,3,4,11
26,Independent Paralympic Participants,IPP,4,3,1,8
27,South Africa,RSA,4,1,3,8
28,"Hong Kong, China",HKG,3,4,4,11
29,Cuba,CUB,3,3,3,9
29,Portugal,POR,3,3,3,9
30,Iceland,ISL,3,2,12,17
31,Brazil,BRA,3,0,4,7
32,Nigeria,NGR,3,0,0,3
33,Israel,ISR,2,4,5,11
34,Slovenia,SLO,2,0,1,3
35,Kuwait,KUW,1,3,1,5
36,Islamic Republic of Iran,IRI,1,2,1,4
37,Bulgaria,BUL,1,2,0,3
37,Panama,PAN,1,2,0,3
38,Argentina,ARG,1,1,0,2
39,Kenya,KEN,1,0,1,2
40,Lithuania,LTU,0,4,3,7
41,Ireland,IRL,0,3,4,7
42,Estonia,EST,0,2,1,3
42,Greece,GRE,0,2,1,3
43,Mexico,MEX,0,1,10,11
44,Jamaica,JAM,0,1,2,3
44,Malaysia,MAS,0,1,2,3
45,Faroe Islands,FRO,0,1,0,1
46,Bahrain,BRN,0,0,1,1
46,Chinese Taipei,TPE,0,0,1,1
46,Croatia,CRO,0,0,1,1
46,Iraq,IRQ,0,0,1,1
46,Thailand,THA,0,0,1,1
46,Venezuela,VEN,0,0,1,1
