Ordem,País,Ouro,Prata,Bronze,Total
1.0,CHN China,89,70,52,211
2.0,GBR Grã-Bretanha,42,29,31,102
3.0,USA Estados Unidos,36,35,28,99
4.0,UKR Ucrânia,24,18,32,74
5.0,AUS Austrália,23,29,27,79
6.0,RSA África do Sul,21,3,6,30
7.0,CAN Canadá,19,20,21,60
8.0,RUS Rússia,18,23,22,63
9.0,BRA Brasil,16,14,17,47
10.0,ESP Espanha,15,21,22,58
11.0,GER Alemanha,14,25,20,59
12.0,FRA França,12,21,19,52
13.0,KOR Coreia do Sul,10,8,13,31
14.0,MEX México,10,3,7,20
15.0,TUN Tunísia,9,9,3,21
16.0,CZE República Checa,6,3,18,27
17.0,JPN Japão,5,14,8,27
18.0,POL Polônia,5,12,13,30
19.0,NED Países Baixos,5,10,7,22
20.0,GRE Grécia,5,9,10,24
21.0,BLR Bielorrússia,5,7,1,13
22.0,IRI Irã,5,6,3,14
23.0,CUB Cuba,5,3,6,14
24.0,NZL Nova Zelândia,5,3,4,12
0.0,SWE Suécia,5,3,4,12
26.0,HKG Hong Kong,5,3,3,11
27.0,KEN Quênia,5,3,1,9
28.0,ITA Itália,4,7,7,18
29.0,EGY Egito,4,4,4,12
30.0,NGR Nigéria,4,4,1,9
31.0,ALG Argélia,4,3,8,15
32.0,MAR Marrocos,4,1,2,7
33.0,AUT Áustria,4,1,1,6
34.0,SUI Suíça,3,2,6,11
35.0,DEN Dinamarca,3,2,4,9
36.0,IRL Irlanda,3,1,1,5
37.0,CRO Croácia,3,1,0,4
38.0,AZE Azerbaijão,2,3,5,10
39.0,SVK Eslováquia,2,3,1,6
40.0,FIN Finlândia,2,2,2,6
41.0,THA Tailândia,1,5,7,13
42.0,POR Portugal,1,4,2,7
43.0,NOR Noruega,1,3,3,7
44.0,CYP Chipre,1,2,1,4
45.0,LAT Letônia,1,2,0,3
46.0,SIN Singapura,1,1,2,4
0.0,VEN Venezuela,1,1,2,4
48.0,KSA Arábia Saudita,1,1,0,2
49.0,HUN Hungria,1,0,5,6
50.0,TPE Taipé Chinês,1,0,1,2
0.0,TUR Turquia,1,0,1,2
52.0,MGL Mongólia,1,0,0,1
53.0,ISR Israel,0,5,1,6
54.0,ANG Angola,0,3,0,3
55.0,JOR Jordânia,0,2,2,4
56.0,LTU Lituânia,0,2,0,2
0.0,SRB Sérvia,0,2,0,2
58.0,ARG Argentina,0,1,5,6
59.0,SLO Eslovênia,0,1,2,3
60.0,BUL Bulgária,0,1,1,2
0.0,COL Colômbia,0,1,1,2
0.0,IRQ Iraque,0,1,1,2
63.0,BIH Bósnia e Herzegovina,0,1,0,1
0.0,PAK Paquistão,0,1,0,1
0.0,PNG Papua-Nova Guiné,0,1,0,1
0.0,ROU Romênia,0,1,0,1
0.0,UAE Emirados Árabes Unidos,0,1,0,1
68.0,LIB Líbano,0,0,2,2
69.0,BEL Bélgica,0,0,1,1
0.0,EST Estônia,0,0,1,1
0.0,JAM Jamaica,0,0,1,1
0.0,LAO Laos,0,0,1,1
0.0,MAS Malásia,0,0,1,1
0.0,NAM Namíbia,0,0,1,1
0.0,PUR Porto Rico,0,0,1,1
0.0,SYR Síria,0,0,1,1
