Ordem,País,CPN,Ouro,Prata,Bronze,Total
1,West Germany,FRG,28,17,22,67
2,United States of America,USA,17,27,31,75
3,Great Britain,GBR,16,15,21,52
4,South Africa,RSA,16,12,13,41
5,Netherlands,NED,14,13,11,38
6,Poland,POL,14,12,7,33
7,France,FRA,10,8,15,33
8,Israel,ISR,9,10,9,28
9,Italy,ITA,8,4,5,17
10,Jamaica,JAM,8,3,4,15
11,Australia,AUS,6,9,10,25
12,Austria,AUT,6,6,6,18
13,Canada,CAN,5,6,8,19
14,Sweden,SWE,5,6,6,17
15,Japan,JPN,4,5,3,12
16,Republic of Korea,KOR,4,2,1,7
17,Rhodesia,RHO,3,5,4,12
18,New Zealand,NZL,3,3,3,9
19,Switzerland,SUI,3,2,4,9
20,Argentina,ARG,2,4,3,9
21,Ireland,IRL,2,4,2,8
22,Norway,NOR,1,5,4,10
23,Belgium,BEL,1,1,2,4
23,Yugoslavia,YUG,1,1,2,4
24,India,IND,1,0,0,1
24,Kenya,KEN,1,0,0,1
25,Spain,ESP,0,4,0,4
26,Finland,FIN,0,2,1,3
27,"Hong Kong, China",HKG,0,1,1,2
28,Czechoslovakia,TCH,0,0,1,1
28,Hungary,HUN,0,0,1,1
