Ordem,País,Ouro,Prata,Bronze,Total
1.0,CHN China,95,71,65,231
2.0,RUS Rússia,36,39,27,102
3.0,GBR Grã-Bretanha,34,43,43,120
5.0,UKR Ucrânia,32,24,28,84
4.0,AUS Austrália,32,22,30,84
6.0,USA Estados Unidos,31,29,37,97
7.0,BRA Brasil,21,14,8,43
8.0,GER Alemanha,18,26,22,66
9.0,POL Polônia,14,12,9,35
10.0,NED Países Baixos,10,10,19,39
11.0,IRI Irã,10,7,7,24
12.0,KOR Coreia do Sul,9,9,9,27
13.0,ITA Itália,9,8,11,28
14.0,TUN Tunísia,9,5,5,19
15.0,CUB Cuba,9,5,3,17
16.0,FRA França,8,19,18,45
17.0,ESP Espanha,8,18,16,42
18.0,RSA África do Sul,8,12,9,29
19.0,IRL Irlanda,8,3,5,16
20.0,CAN Canadá,7,16,9,32
21.0,NZL Nova Zelândia,6,6,4,16
22.0,NGR Nigéria,6,5,2,13
23.0,MEX México,6,4,11,21
24.0,JPN Japão,5,5,6,16
25.0,BLR Bielorrússia,5,2,4,11
26.0,ALG Argélia,4,6,9,19
27.0,AZE Azerbaijão,4,5,3,12
28.0,EGY Egito,4,4,7,15
29.0,SWE Suécia,4,4,4,12
30.0,AUT Áustria,4,3,6,13
31.0,THA Tailândia,4,2,2,8
32.0,FIN Finlândia,4,1,1,6
33.0,SUI Suíça,3,6,4,13
34.0,HKG Hong Kong,3,3,6,12
35.0,NOR Noruega,3,2,3,8
36.0,BEL Bélgica,3,1,3,7
37.0,MAR Marrocos,3,0,3,6
38.0,HUN Hungria,2,6,6,14
39.0,SRB Sérvia,2,3,0,5
40.0,KEN Quênia,2,2,2,6
41.0,SVK Eslováquia,2,1,3,6
42.0,CZE República Checa,1,6,4,11
43.0,TUR Turquia,1,5,4,10
44.0,GRE Grécia,1,3,8,12
45.0,ISR Israel,1,2,5,8
46.0,UAE Emirados Árabes Unidos,1,1,1,3
47.0,LAT Letônia,1,1,0,2
0.0,NAM Namíbia,1,1,0,2
0.0,ROU Romênia,1,1,0,2
50.0,DEN Dinamarca,1,0,4,5
51.0,ANG Angola,1,0,1,2
52.0,BIH Bósnia e Herzegovina,1,0,0,1
0.0,CHI Chile,1,0,0,1
0.0,FIJ Fiji,1,0,0,1
0.0,ISL Islândia,1,0,0,1
0.0,JAM Jamaica,1,0,0,1
0.0,MKD República da Macedônia,1,0,0,1
58.0,CRO Croácia,0,2,3,5
59.0,BUL Bulgária,0,2,1,3
0.0,IRQ Iraque,0,2,1,3
61.0,COL Colômbia,0,2,0,2
62.0,ARG Argentina,0,1,4,5
63.0,POR Portugal,0,1,2,3
0.0,TPE Taipé Chinês,0,1,2,3
65.0,MAS Malásia,0,1,1,2
0.0,SIN Singapura,0,1,1,2
67.0,KSA Arábia Saudita,0,1,0,1
0.0,CYP Chipre,0,1,0,1
0.0,SLO Eslovênia,0,1,0,1
0.0,ETH Etiópia,0,1,0,1
0.0,IND Índia,0,1,0,1
0.0,UZB Uzbequistão,0,1,0,1
73.0,VEN Venezuela,0,0,2,2
74.0,INA Indonésia,0,0,1,1
0.0,SRI Sri Lanka,0,0,1,1
