Ordem,País,Ouro,Prata,Bronze,Total
1,CHN China,94,76,50,220
2,GBR Grã-Bretanha,49,44,31,124
3,USA Estados Unidos,36,42,27,105
4,NED Países Baixos,27,17,12,56
–,NPA Atletas Paralímpicos Neutros,26,22,23,71
5,BRA Brasil,25,26,38,89
6,ITA Itália,24,15,32,71
7,UKR Ucrânia,22,28,32,82
8,FRA França,19,28,28,75
9,AUS Austrália,18,17,28,63
10,JPN Japão,14,10,17,41
11,GER Alemanha,10,14,25,49
12,CAN Canadá,10,9,10,29
13,UZB Uzbequistão,10,9,7,26
14,IRI Irã,8,10,7,25
15,SUI Suíça,8,8,5,21
16,POL Polônia,8,6,9,23
17,ESP Espanha,7,11,22,40
18,IND Índia,7,9,13,29
19,COL Colômbia,7,7,14,28
20,BEL Bélgica,7,4,3,14
21,THA Tailândia,6,11,13,30
22,KOR Coreia do Sul,6,10,14,30
23,TUR Turquia,6,10,12,28
24,CUB Cuba,6,3,1,10
25,ALG Argélia,6,0,5,11
26,HUN Hungria,5,6,4,15
27,TUN Tunísia,5,3,3,11
28,AZE Azerbaijão,4,2,5,11
29,ISR Israel,4,2,4,10
30,MEX México,3,6,8,17
31,MAR Marrocos,3,6,6,15
32,HKG Hong Kong,3,4,1,8
33,GRE Grécia,3,3,7,13
34,VEN Venezuela,3,2,1,6
35,SVK Eslováquia,3,2,0,5
36,LAT Letônia,3,1,0,4
37,ARG Argentina,2,3,8,13
38,DEN Dinamarca,2,3,5,10
39,KAZ Cazaquistão,2,3,4,9
40,NGR Nigéria,2,3,2,7
41,EGY Egito,2,2,3,7
42,MAS Malásia,2,2,1,5
43,POR Portugal,2,1,4,7
44,ETH Etiópia,2,1,0,3
44,SIN Singapura,2,1,0,3
46,RSA África do Sul,2,0,4,6
47,ECU Equador,2,0,2,4
48,JOR Jordânia,2,0,1,3
40,CRC Costa Rica,2,0,0,2
50,INA Indonésia,1,8,5,14
51,GEO Geórgia,1,4,4,9
51,NZL Nova Zelândia,1,4,4,9
53,CZE Chéquia,1,4,3,8
54,NOR Noruega,1,3,3,7
55,IRL Irlanda,1,3,2,6
55,SRB Sérvia,1,3,2,6
57,MGL Mongólia,1,3,0,4
58,IRQ Iraque,1,1,3,5
59,CRO Croácia,1,1,2,4
60,CHI Chile,1,0,4,5
61,KUW Kuwait,1,0,1,2
61,NAM Namíbia,1,0,1,2
61,ROU Romênia,1,0,1,2
61,SLO Eslovênia,1,0,1,2
65,BUL Bulgária,1,0,0,1
65,KSA Arábia Saudita,1,0,0,1
65,PER Peru,1,0,0,1
68,TPE Taipé Chinês,0,3,2,5
69,AUT Áustria,0,3,1,4
70,BIH Bósnia e Herzegovina,0,2,0,2
71,FIN Finlândia,0,1,3,4
72,SWE Suécia,0,1,2,3
73,CYP Chipre,0,1,1,2
73,MDA Moldávia,0,1,1,2
75,KEN Quênia,0,1,0,1
75,SRI Sri Lanka,0,1,0,1
75,TTO Trinidad e Tobago,0,1,0,1
78,RPT Time Paralímpico de Refugiados,0,0,2,2
79,LTU Lituânia,0,0,1,1
79,LUX Luxemburgo,0,0,1,1
79,MNE Montenegro,0,0,1,1
79,MRI Maurício,0,0,1,1
79,NEP Nepal,0,0,1,1
79,PAK Paquistão,0,0,1,1
79,VIE Vietnã,0,0,1,1
