Ordem,País,CPN,Ouro,Prata,Bronze,Total
1,United States of America,USA,91,90,88,269
2,West Germany,FRG,76,65,52,193
3,Great Britain,GBR,65,65,54,184
4,Canada,CAN,55,42,55,152
5,France,FRA,46,44,50,140
6,Sweden,SWE,42,38,23,103
7,Republic of Korea,KOR,40,35,19,94
8,Netherlands,NED,30,24,29,83
9,Australia,AUS,23,34,38,95
10,Poland,POL,23,25,33,81
11,Denmark,DEN,23,19,22,64
12,USSR,URS,21,20,15,56
13,Spain,ESP,18,13,12,43
14,Japan,JPN,17,12,17,46
15,People's Republic of China,CHN,16,17,8,41
16,Italy,ITA,16,15,27,58
17,Belgium,BEL,15,18,8,41
18,Israel,ISR,15,14,16,45
19,Ireland,IRL,13,11,18,42
20,Austria,AUT,13,7,15,35
21,Switzerland,SUI,12,12,11,35
22,Finland,FIN,11,23,16,50
23,Norway,NOR,11,11,15,37
24,Mexico,MEX,8,9,7,24
25,Kuwait,KUW,5,5,7,17
26,Brazil,BRA,4,9,14,27
27,Yugoslavia,YUG,4,4,11,19
28,Islamic Republic of Iran,IRI,4,1,3,8
29,Portugal,POR,3,5,6,14
30,New Zealand,NZL,2,4,11,17
31,Iceland,ISL,2,2,7,11
32,Bulgaria,BUL,2,1,0,3
33,Jamaica,JAM,1,4,3,8
34,Egypt,EGY,1,3,3,7
34,Faroe Islands,FRO,1,3,3,7
35,Puerto Rico,PUR,1,2,0,3
36,Bahrain,BRN,1,1,1,3
37,Guatemala,GUA,1,0,0,1
38,Argentina,ARG,0,7,2,9
39,Hungary,HUN,0,5,7,12
40,Kenya,KEN,0,4,1,5
41,"Hong Kong, China",HKG,0,2,7,9
42,Indonesia,INA,0,2,0,2
43,Greece,GRE,0,1,3,4
44,Czechoslovakia,TCH,0,1,0,1
44,Thailand,THA,0,1,0,1
45,Tunisia,TUN,0,0,2,2
46,Malaysia,MAS,0,0,1,1
46,Morocco,MAR,0,0,1,1
