Ordem,País,Ouro,Prata,Bronze,Total
1,AUS Austrália,63,39,47,149
2,GBR Grã-Bretanha,41,43,47,131
3,CAN Canadá,38,33,25,96
4,ESP Espanha,38,29,38,105
5,USA Estados Unidos,36,39,34,109
6,CHN China,34,22,17,73
7,FRA França,30,28,28,86
8,POL Polônia,19,23,11,53
9,KOR Coreia do Sul,18,7,7,32
10,GER Alemanha,16,41,38,95
11,CZE República Checa,15,15,13,43
12,JPN Japão,13,17,11,41
13,RSA África do Sul,13,12,13,38
14,RUS Rússia,13,10,12,35
15,NED Países Baixos,12,9,9,30
16,IRI Irã,12,4,7,23
17,MEX México,10,12,12,34
18,ITA Itália,9,8,10,27
19,DEN Dinamarca,8,8,14,30
20,SUI Suíça,8,4,8,20
21,HKG Hong Kong,8,3,7,18
22,NGR Nigéria,7,1,5,13
23,EGY Egito,6,12,10,28
24,BRA Brasil,6,10,6,22
25,NZL Nova Zelândia,6,8,4,18
26,POR Portugal,6,5,5,16
27,TUN Tunísia,6,4,1,11
28,BLR Bielorrússia,5,8,10,23
29,SWE Suécia,5,6,10,21
30,THA Tailândia,5,4,2,11
31,IRL Irlanda,5,3,1,9
32,HUN Hungria,4,5,14,23
33,GRE Grécia,4,4,3,11
34,CUB Cuba,4,2,2,8
35,UKR Ucrânia,3,20,14,37
36,SVK Eslováquia,3,5,5,13
37,ISR Israel,3,2,1,6
38,ALG Argélia,3,0,0,3
39,AUT Áustria,2,7,6,15
40,NOR Noruega,2,6,7,15
41,ISL Islândia,2,0,2,4
42,BEL Bélgica,1,4,4,9
43,FIN Finlândia,1,3,6,10
44,TPE Taipé Chinês,1,2,4,7
45,EST Estônia,1,1,3,5
46,KEN Quênia,1,1,2,4
47,PER Peru,1,1,0,2
48,CIV Costa do Marfim,1,0,1,2
49,BUL Bulgária,1,0,0,1
49,JOR Jordânia,1,0,0,1
49,ZIM Zimbabwe,1,0,0,1
52,FRO Ilhas Faroé,0,3,1,4
52,UAE Emirados Árabes Unidos,0,3,1,4
54,ARG Argentina,0,2,3,5
55,SLO Eslovênia,0,2,2,4
56,LTU Lituânia,0,2,1,3
57,KUW Kuwait,0,1,4,5
58,BRN Barém,0,1,1,2
58,PAN Panamá,0,1,1,2
60,AZE Azerbaijão,0,1,0,1
60,BIH Bósnia e Herzegovina,0,1,0,1
60,YUG Iugoslávia,0,1,0,1
63,LAT Letônia,0,0,3,3
64,LBA Líbia,0,0,1,1
64,PLE Palestina,0,0,1,1
64,PHI Filipinas,0,0,1,1
64,PUR Porto Rico,0,0,1,1
64,VEN Venezuela,0,0,1,1
