Ordem,País,CPN,Ouro,Prata,Bronze,Total
1,United States of America,USA,33,27,39,99
2,Great Britain,GBR,29,20,20,69
3,Israel,ISR,18,21,23,62
4,Australia,AUS,15,16,7,38
5,France,FRA,13,10,9,32
6,West Germany,FRG,12,12,11,35
7,Italy,ITA,12,10,17,39
8,Netherlands,NED,12,4,4,20
9,Argentina,ARG,10,10,10,30
10,South Africa,RSA,9,10,7,26
11,Rhodesia,RHO,6,7,7,20
12,Canada,CAN,6,6,7,19
13,Norway,NOR,5,3,1,9
14,Jamaica,JAM,3,1,1,5
15,Austria,AUT,2,7,10,19
16,Japan,JPN,2,2,8,12
17,Sweden,SWE,1,6,4,11
18,New Zealand,NZL,1,2,1,4
19,Ireland,IRL,0,4,5,9
20,Belgium,BEL,0,3,3,6
21,Spain,ESP,0,3,1,4
22,Switzerland,SUI,0,2,6,8
