Ordem,País,CPN,Ouro,Prata,Bronze,Total
1,United States of America,USA,66,44,45,155
2,Netherlands,NED,45,25,14,84
3,Israel,ISR,40,13,16,69
4,West Germany,FRG,37,34,26,97
5,Great Britain,GBR,29,28,37,94
6,Canada,CAN,25,26,26,77
7,Poland,POL,24,17,12,53
8,France,FRA,23,21,14,58
9,Sweden,SWE,21,28,25,74
10,Austria,AUT,18,16,17,51
11,Australia,AUS,16,18,7,41
12,Mexico,MEX,16,14,9,39
13,Finland,FIN,12,20,18,50
14,Japan,JPN,10,6,3,19
15,Switzerland,SUI,9,12,10,31
16,Norway,NOR,9,6,4,19
17,Belgium,BEL,7,7,8,22
18,New Zealand,NZL,7,1,5,13
19,South Africa,RSA,6,9,11,26
20,Egypt,EGY,5,2,1,8
21,Ireland,IRL,4,10,6,20
22,Spain,ESP,4,6,2,12
23,Argentina,ARG,3,4,7,14
24,Denmark,DEN,3,0,3,6
25,Italy,ITA,2,5,11,18
26,Indonesia,INA,2,1,3,6
27,Republic of Korea,KOR,1,2,1,4
28,Burma,BIR,1,1,1,3
29,Peru,PER,1,0,2,3
30,Hungary,HUN,1,0,1,2
31,"Hong Kong, China",HKG,0,1,2,3
32,Brazil,BRA,0,1,0,1
33,Guatemala,GUA,0,0,1,1
