Ordem,País,Ouro,Prata,Bronze,Total
1,CHN China,48,22,30,100
2,USA Estados Unidos,36,39,37,112
3,RUS Rússia,24,13,23,60
4,GBR Grã-Bretanha,19,13,19,51
5,GER Alemanha,16,11,14,41
6,AUS Austrália,14,15,17,46
7,KOR Coreia do Sul,13,11,8,32
8,JPN Japão,9,8,8,25
9,ITA Itália,8,9,10,27
10,FRA França,7,16,20,43
11,NED Países Baixos,7,5,4,16
12,UKR Ucrânia,7,4,11,22
13,KEN Quênia,6,4,6,16
14,ESP Espanha,5,11,3,19
15,JAM Jamaica,5,4,2,11
16,POL Polônia,4,5,2,11
17,ETH Etiópia,4,2,1,7
18,ROU Romênia,4,1,4,9
19,CUB Cuba,3,10,17,30
20,CAN Canadá,3,9,8,20
21,HUN Hungria,3,5,2,10
22,NOR Noruega,3,5,1,9
23,BRA Brasil,3,4,10,17
24,BLR Bielorrússia,3,4,7,14
25,CZE República Checa,3,3,1,7
26,SVK Eslováquia,3,3,0,6
27,NZL Nova Zelândia,3,2,4,9
28,GEO Geórgia,3,2,2,7
29,KAZ Cazaquistão,2,3,4,9
30,DEN Dinamarca,2,2,3,7
31,PRK Coreia do Norte,2,2,2,6
0,THA Tailândia,2,2,2,6
33,MGL Mongólia,2,2,0,4
34,SUI Suíça,2,1,4,7
35,ARG Argentina,2,0,4,6
36,MEX México,2,0,2,4
37,BEL Bélgica,2,0,0,2
38,ZIM Zimbabwe,1,3,0,4
39,SLO Eslovênia,1,2,2,5
40,AZE Azerbaijão,1,1,4,6
0,INA Indonésia,1,1,4,6
42,BUL Bulgária,1,1,3,5
0,TUR Turquia,1,1,3,5
44,FIN Finlândia,1,1,2,4
0,TPE Taipé Chinês,1,1,2,4
46,LAT Letônia,1,1,1,3
47,DOM República Dominicana,1,1,0,2
0,EST Estônia,1,1,0,2
0,POR Portugal,1,1,0,2
0,TRI Trinidad e Tobago,1,1,0,2
51,IND Índia,1,0,2,3
52,IRI Irã,1,0,1,2
53,CMR Camarões,1,0,0,1
0,PAN Panamá,1,0,0,1
0,TUN Tunísia,1,0,0,1
56,SWE Suécia,0,4,1,5
57,LTU Lituânia,0,3,2,5
0,NGR Nigéria,0,3,2,5
59,CRO Croácia,0,2,3,5
60,COL Colômbia,0,2,1,3
0,GRE Grécia,0,2,1,3
62,ARM Armênia,0,1,4,5
63,UZB Uzbequistão,0,1,3,4
64,AUT Áustria,0,1,2,3
0,IRL Irlanda,0,1,2,3
0,KGZ Quirguistão,0,1,2,3
0,SRB Sérvia,0,1,2,3
68,ALG Argélia,0,1,1,2
0,BAH Bahamas,0,1,1,2
0,MAR Marrocos,0,1,1,2
0,TJK Tajiquistão,0,1,1,2
72,RSA África do Sul,0,1,0,1
0,CHI Chile,0,1,0,1
0,ECU Equador,0,1,0,1
0,ISL Islândia,0,1,0,1
0,MAS Malásia,0,1,0,1
0,SAM Samoa,0,1,0,1
0,SIN Singapura,0,1,0,1
0,SUD Sudão,0,1,0,1
0,VIE Vietnã,0,1,0,1
81,EGY Egito,0,0,2,2
82,AFG Afeganistão,0,0,1,1
0,ISR Israel,0,0,1,1
0,MRI Maurício,0,0,1,1
0,MDA Moldávia,0,0,1,1
0,TOG Togo,0,0,1,1
0,VEN Venezuela,0,0,1,1
