Ordem,País,Ouro,Prata,Bronze,Total
1,CHN China,107,81,51,239
2,GBR Grã-Bretanha,64,39,44,147
3,UKR Ucrânia,41,37,39,117
4,USA Estados Unidos,40,44,31,115
5,AUS Austrália,22,30,29,81
6,GER Alemanha,18,25,14,57
7,NED Países Baixos,17,19,26,62
8,BRA Brasil,14,29,29,72
9,ITA Itália,10,14,15,39
10,POL Polônia,9,18,12,39
11,ESP Espanha,9,14,8,31
12,FRA França,9,5,14,28
13,NZL Nova Zelândia,9,5,7,21
14,CAN Canadá,8,10,11,29
15,IRI Irã,8,9,7,24
16,UZB Uzbequistão,8,6,17,31
17,NGR Nigéria,8,2,2,12
18,CUB Cuba,8,1,6,15
19,BLR Bielorrússia,8,0,2,10
20,KOR Coreia do Sul,7,11,17,35
21,TUN Tunísia,7,6,6,19
22,RSA África do Sul,7,6,4,17
23,THA Tailândia,6,6,6,18
24,GRE Grécia,5,4,4,13
25,BEL Bélgica,5,3,3,11
26,SVK Eslováquia,5,3,3,11
27,ALG Argélia,4,5,7,16
28,IRL Irlanda,4,4,3,11
29,MEX México,4,2,9,15
30,EGY Egito,3,5,4,12
31,SRB Sérvia,3,2,4,9
32,NOR Noruega,3,2,3,8
33,MAR Marrocos,3,2,2,7
34,TUR Turquia,3,1,5,9
35,KEN Quênia,3,1,2,6
36,MAS Malásia,3,0,1,4
37,COL Colômbia,2,5,10,17
38,UAE Emirados Árabes Unidos,2,4,1,7
39,IRQ Iraque,2,3,0,5
40,HKG Hong Kong,2,2,2,6
41,CRO Croácia,2,2,1,5
42,SUI Suíça,2,2,1,5
43,IND Índia,2,1,1,4
44,LTU Lituânia,2,1,0,3
45,LAT Letônia,2,0,2,4
46,SIN Singapura,2,0,1,3
47,HUN Hungria,1,8,9,18
48,AZE Azerbaijão,1,8,2,11
49,SWE Suécia,1,4,5,10
50,AUT Áustria,1,4,4,9
51,DEN Dinamarca,1,2,4,7
52,CZE República Checa,1,2,4,7
53,NAM Namíbia,1,2,2,5
54,ARG Argentina,1,1,3,5
55,VIE Vietnã,1,1,2,4
56,FIN Finlândia,1,1,1,3
57,TTO Trinidad e Tobago,1,1,1,3
58,KAZ Cazaquistão,1,1,0,2
59,SLO Eslovênia,1,1,0,2
60,BRN Barém,1,0,0,1
61,BUL Bulgária,1,0,0,1
62,GEO Geórgia,1,0,0,1
63,KUW Kuwait,1,0,0,1
64,JPN Japão,0,10,14,24
65,VEN Venezuela,0,3,3,6
66,JOR Jordânia,0,2,1,3
67,QAT Catar,0,2,0,2
68,TPE Taipé Chinês,0,1,1,2
69,BIH Bósnia e Herzegovina,0,1,0,1
70,CIV Costa do Marfim,0,1,0,1
71,ETH Etiópia,0,1,0,1
72,UGA Uganda,0,1,0,1
73,POR Portugal,0,0,4,4
74,ISR Israel,0,0,3,3
75,MGL Mongólia,0,0,2,2
76,KSA Arábia Saudita,0,0,1,1
77,CPV Cabo Verde,0,0,1,1
78,PHI Filipinas,0,0,1,1
79,INA Indonésia,0,0,1,1
80,MOZ Moçambique,0,0,1,1
81,PAK Paquistão,0,0,1,1
82,ROU Romênia,0,0,1,1
83,SRI Sri Lanka,0,0,1,1
