Posição,Δ,País ou território,IDH,% crescimento anual (2010–2023)
1,(2),Islândia,972,"0,28%"
2,(1),Noruega,970,"0,25%"
2,,Suíça,970,"0,24%"
4,(2),Dinamarca,962,"0,35%"
5,(1),Alemanha,959,"0,19%"
5,,Suécia,959,"0,38%"
7,(1),Austrália,958,"0,20%"
8,(2),Países Baixos,955,"0,26%"
8,(1),Hong Kong,955,"0,38%"
10,(3),Bélgica,951,"0,26%"
11,(4),Irlanda,949,"0,38%"
12,(4),Finlândia,948,0.27%
13,(2),Singapura,946,"0,25%"
13,(2),Reino Unido,946,"0,24%"
15,(27),Emirados Árabes Unidos,940,"1,04%"
16,(2),Canadá,939,"0,22%"
17,(1),Liechtenstein,938,"0,23%"
17,(5),Nova Zelândia,938,"0,13%"
17,,Estados Unidos,938,"0,10%"
20,(1),Coreia do Sul,937,"0,36%"
21,(2),Eslovênia,931,"0,33%"
22,(3),Áustria,930,"0,21%"
23,(3),Japão,925,"0,16%"
24,(5),Malta,924,"0,50%"
25,(3),Luxemburgo,922,"0,14%"
26,(1),França,920,"0,28%"
27,(3),Israel,919,"0,26%"
28,,Espanha,918,"0,40%"
29,(3),Chéquia,915,"0,22%"
29,(1),Itália,915,"0,24%"
29,(2),San Marino,915,"0,32%"
32,(3),Chipre,913,"0,45%"
32,(1),Andorra,913,"0,20%"
34,(3),Grécia,908,"0,18%"
35,(1),Polônia,906,"0,35%"
36,(5),Estônia,905,"0,33%"
37,(9),Arábia Saudita,900,"0,70%"
38,(1),Bahrain,899,"0,80%"
39,(4),Lituânia,895,"0,32%"
40,(2),Portugal,890,"0,42%"
41,(1),Croácia,889,"0,53%"
41,(4),Letônia,889,"0,51%"
43,(4),Qatar,886,"0,45%"
44,(6),Eslováquia,880,"0,14%"
45,(1),Chile,878,"0,47%"
46,(1),Hungria,870,"0,22%"
47,(7),Argentina,865,"0,15%"
48,,Montenegro,862,"0,38%"
48,(13),Uruguai,862,"0,47%"
50,(1),Omã,858,"0,22%"
51,(7),Turquia,853,"1,10%"
52,(1),Kuwait,852,"0,36%"
53,(5),Antigua e Barbuda,851,"0,18%"
54,(5),Seychelles,848,"0,30%"
55,(1),Bulgária,845,"0,09%"
55,(2),Romênia,845,"0,14%"
57,(6),Geórgia,844,"0,54%"
58,(4),São Cristóvão e Neves,840,"0,49%"
59,(6),Panamá,839,"0,47%"
60,(12),Brunei,837,"0,13%"
60,(1),Cazaquistão,837,"0,38%"
62,(3),Costa Rica,833,"0,39%"
62,(5),Sérvia,833,"0,39%"
64,(12),Rússia,832,"0,25%"
65,(10),Belarus,824,"0,12%"
66,(3),Bahamas,820,"0,21%"
67,(2),Malásia,819,"0,41%"
68,(4),Macedônia do Norte,815,"0,21%"
69,(9),Barbados,811,"0,18%"
69,,Armênia,811,"0,52%"
71,,Albânia,810,"0,25%"
72,(10),Trinidad e Tobago,807,"0,30%"
73,,Maurícia,806,"0,44%"
74,(7),Bósnia e Herzegovina,804,"0,68%"
75,(1),Irã,799,"0,26%"
76,(11),São Vicente e Granadinas,798,"0,17%"
76,(2),Tailândia,798,"0,65%"
78,(16),China,797,"1,02%"
79,(5),Peru,794,"0,42%"
80,(4),Granada,791,"0,15%"
81,(1),Azerbaijão,789,"0,30%"
81,(2),México,789,"0,37%"
83,(3),Colômbia,788,"0,29%"
84,(4),Brasil,786,"0,43%"
84,(17),Palau,786,"0,23%"
86,(5),Moldávia,785,"0,53%"
87,(10),Ucrânia,779,"0,35%"
88,,Equador,777,"0,32%"
89,(6),República Dominicana,776,"0,67%"
89,(33),Guiana,776,"1,11%"
89,(8),Sri Lanka,776,"0,50%"
92,(4),Tonga,769,0.35%
93,(10),Maldivas,766,"0,81%"
93,(16),Vietnã,766,"0,60%"
95,(8),Turcomenistão,764,"0,52%"
96,(3),Argélia,763,"0,27%"
97,(16),Cuba,762,"0,16%"
98,,Dominica,761,"0,06%"
99,,Paraguai,756,"0,36%"
100,(15),Egito,754,"0,73%"
100,(4),Jordânia,754,"0,10%"
102,(12),Líbano,752,"0,29%"
103,(11),Santa Lúcia,748,"0,07%"
104,(11),Mongólia,747,"0,48%"
105,(4),Tunísia,746,"0,22%"
106,(1),África do Sul,741,"0,50%"
107,(7),Uzbequistão,740,"0,62%"
108,(8),Bolívia,733,"0,45%"
108,(1),Gabão,733,"0,46%"
108,(11),Ilhas Marshall,733,
111,(9),Botswana,731,"0,69%"
111,(1),Fiji,731,"0,35%"
113,(4),Indonésia,728,"0,56%"
114,(6),Suriname,722,"0,07%"
115,(9),Belize,721,"0,23%"
115,(14),Líbia,721,"0,31%"
117,(6),Jamaica,720,"0,06%"
117,(1),Quirguistão,720,"0,49%"
117,(3),Filipinas,720,"0,45%"
120,(7),Marrocos,710,"1,21%"
121,(37),Venezuela,709,"0,68%"
122,(9),Samoa,708,"0,02%"
123,,Nicarágua,706,"0,76%"
124,(2),Nauru,703,"1,84%"
125,(9),Butão,698,"1,32%"
126,(16),Essuatíni,695,"1,70%"
126,(2),Iraque,695,"0,57%"
128,,Tadjiquistão,691,"0,61%"
129,(1),Tuvalu,689,"0,39%"
130,(9),Bangladesh,685,"1,54%"
130,(5),Índia,685,"0,99%"
132,(7),El Salvador,678,"0,21%"
133,(2),Guiné Equatorial,674,"0,54%"
133,(21),Palestina,674,"0,33%"
135,(7),Cabo Verde,668,"0,15%"
136,,Namíbia,665,"0,36%"
137,(4),Guatemala,662,"0,21%"
138,(6),República do Congo,649,"0,17%"
139,(1),Honduras,645,"0,38%"
140,(2),Kiribati,644,"0,61%"
141,,São Tomé e Príncipe,637,"0,86%"
142,(5),Timor-Leste,634,"1,01%"
143,(4),Gana,628,"0,44%"
143,(5),Quênia,628,"0,82%"
145,(5),Nepal,622,"0,85%"
146,,Vanuatu,621,"0,50%"
147,(4),Laos,617,"0,90%"
148,(3),Angola,616,"1,14%"
149,(6),Micronésia,615,"0,13%"
150,(3),Myanmar,609,"1,54%"
151,(5),Camboja,606,"0,85%"
152,(2),Comores,603,"0,94%"
153,(1),Zimbábue,598,"1,12%"
154,,Zâmbia,595,"0,63%"
155,(5),Camarões,588,"1,10%"
156,(7),Ilhas Salomão,584,"0,13%"
157,(10),Costa do Marfim,582,"1,07%"
157,(3),Uganda,582,"0,80%"
159,(5),Ruanda,578,"1,02%"
160,(1),Papua-Nova Guiné,576,"1,12%"
161,(4),Togo,571,"1,29%"
162,(3),Síria,564,"1,42%"
163,(5),Mauritânia,563,"0,51%"
164,(2),Nigéria,560,"0,97%"
165,(1),Tanzânia,555,"0,64%"
166,(9),Haiti,554,"1,74%"
167,(1),Lesoto,550,"0,86%"
168,(5),Paquistão,544,"0,71%"
169,(1),Senegal,530,"0,80%"
170,(5),Gâmbia,524,"0,82%"
171,(8),República Democrática do Congo,522,"1,06%"
171,(4),Etiópia,522,"1,55%"
173,(1),Malawi,517,"0,81%"
174,(4),Benin,515,"0,39%"
175,(2),Guiné-Bissau,514,"0,76%"
176,(6),Djibouti,513,"1,67%"
177,(3),Sudão,511,"0,45%"
178,,Libéria,510,"0,48%"
179,(1),Eritreia,503,"0,62%"
180,(3),Guiné,500,"1,06%"
181,(7),Afeganistão,496,"0,24%"
182,(1),Moçambique,493,"1,04%"
183,(11),Madagascar,487,"0,02%"
184,(4),Iêmen,470,"1,30%"
185,,Serra Leoa,467,"0,80%"
186,(1),Burkina Faso,459,"1,37%"
187,(2),Burundi,439,"0,32%"
188,,Mali,419,"0,08%"
188,(3),Níger,419,"1,34%"
190,(1),Chade,416,"0,66%"
191,(1),República Centro-Africana,414,"0,58%"
192,,Somália,404,
193,,Sudão do Sul,388,"0,61%"
