Ordem,País,Ouro,Prata,Bronze,Total
1,USA Estados Unidos,83,61,30,174
2,ROU Romênia,20,16,17,53
3,FRG Alemanha Ocidental,17,19,23,59
4,CHN China,15,8,9,32
5,ITA Itália,14,6,12,32
6,CAN Canadá,10,18,16,44
7,JPN Japão,10,8,14,32
8,NZL Nova Zelândia,8,1,2,11
9,YUG Iugoslávia,7,4,7,18
10,KOR Coreia do Sul,6,6,7,19
11,GBR Grã-Bretanha,5,11,21,37
12,FRA França,5,7,16,28
13,NED Países Baixos,5,2,6,13
14,AUS Austrália,4,8,12,24
15,FIN Finlândia,4,2,6,12
16,SWE Suécia,2,11,6,19
17,MEX México,2,3,1,6
18,MAR Marrocos,2,0,0,2
19,BRA Brasil,1,5,2,8
20,ESP Espanha,1,2,2,5
21,BEL Bélgica,1,1,2,4
22,AUT Áustria,1,1,1,3
23,KEN Quênia,1,0,2,3
23,POR Portugal,1,0,2,3
25,PAK Paquistão,1,0,0,1
26,SUI Suíça,0,4,4,8
27,DEN Dinamarca,0,3,3,6
28,JAM Jamaica,0,1,2,3
28,NOR Noruega,0,1,2,3
30,GRE Grécia,0,1,1,2
30,NGR Nigéria,0,1,1,2
30,PUR Porto Rico,0,1,1,2
33,COL Colômbia,0,1,0,1
33,CIV Costa do Marfim,0,1,0,1
33,EGY Egito,0,1,0,1
33,IRL Irlanda,0,1,0,1
33,PER Peru,0,1,0,1
33,SYR Síria,0,1,0,1
33,THA Tailândia,0,1,0,1
40,TUR Turquia,0,0,3,3
40,VEN Venezuela,0,0,3,3
42,ALG Argélia,0,0,2,2
43,CMR Camarões,0,0,1,1
43,TPE Taipé Chinês,0,0,1,1
43,DOM República Dominicana,0,0,1,1
43,ISL Islândia,0,0,1,1
43,ZAM Zâmbia,0,0,1,1
