Ordem,País,Ouro,Prata,Bronze,Total
1,USA Estados Unidos,48,26,31,105
2,CHN China,39,31,22,92
3,GBR Grã-Bretanha,29,18,18,65
4,RUS Rússia,18,20,26,64
5,KOR Coreia do Sul,13,9,9,31
6,GER Alemanha,11,20,13,44
7,FRA França,11,11,13,35
8,AUS Austrália,8,15,12,35
9,ITA Itália,8,9,11,28
10,HUN Hungria,8,4,6,18
11,JPN Japão,7,14,17,38
12,IRI Irã,7,5,1,13
13,NED Países Baixos,6,6,8,20
14,NZL Nova Zelândia,6,2,5,13
15,UKR Ucrânia,5,4,10,19
16,CUB Cuba,5,3,7,15
17,ESP Espanha,4,10,6,20
18,JAM Jamaica,4,5,4,13
19,CZE República Checa,4,4,3,11
20,RSA África do Sul,4,1,1,6
21,PRK Coreia do Norte,4,0,2,6
22,BRA Brasil,3,5,9,17
23,ETH Etiópia,3,3,2,8
24,KAZ Cazaquistão,3,2,6,11
0,POL Polônia,3,2,6,11
26,CRO Croácia,3,1,2,6
27,CAN Canadá,2,6,10,18
28,BLR Bielorrússia,2,5,3,10
29,KEN Quênia,2,4,7,13
30,DEN Dinamarca,2,4,3,9
31,ROU Romênia,2,4,1,7
32,AZE Azerbaijão,2,2,5,9
33,SUI Suíça,2,2,0,4
34,NOR Noruega,2,1,1,4
35,LTU Lituânia,2,0,3,5
36,TUN Tunísia,2,0,1,3
37,SWE Suécia,1,4,3,8
38,COL Colômbia,1,3,5,9
39,MEX México,1,3,4,8
40,GEO Geórgia,1,2,3,6
41,IRL Irlanda,1,1,4,6
42,ARG Argentina,1,1,2,4
0,SLO Eslovênia,1,1,2,4
0,SRB Sérvia,1,1,2,4
0,TRI Trinidad e Tobago,1,1,2,4
46,TUR Turquia,1,1,1,3
47,DOM República Dominicana,1,1,0,2
48,LAT Letônia,1,0,1,2
0,TPE Taipé Chinês,1,0,1,2
50,ALG Argélia,1,0,0,1
0,BAH Bahamas,1,0,0,1
0,BRN Barém,1,0,0,1
0,GRN Granada,1,0,0,1
0,UGA Uganda,1,0,0,1
0,VEN Venezuela,1,0,0,1
56,EGY Egito,0,3,1,4
57,IND Índia,0,2,4,6
58,MGL Mongólia,0,2,3,5
59,THA Tailândia,0,2,2,4
60,BUL Bulgária,0,2,1,3
0,FIN Finlândia,0,2,1,3
0,INA Indonésia,0,2,1,3
63,SVK Eslováquia,0,1,3,4
64,BEL Bélgica,0,1,2,3
65,ARM Armênia,0,1,1,2
0,QAT Catar,0,1,1,2
0,EST Estônia,0,1,1,2
0,MAS Malásia,0,1,1,2
0,PUR Porto Rico,0,1,1,2
70,BOT Botsuana,0,1,0,1
0,CYP Chipre,0,1,0,1
0,GAB Gabão,0,1,0,1
0,GUA Guatemala,0,1,0,1
0,MNE Montenegro,0,1,0,1
0,POR Portugal,0,1,0,1
76,UZB Uzbequistão,0,0,3,3
77,GRE Grécia,0,0,2,2
0,SIN Singapura,0,0,2,2
79,AFG Afeganistão,0,0,1,1
0,KSA Arábia Saudita,0,0,1,1
0,CMR Camarões,0,0,1,1
0,HKG Hong Kong,0,0,1,1
0,KUW Kuwait,0,0,1,1
0,MAR Marrocos,0,0,1,1
0,TJK Tajiquistão,0,0,1,1
0,VIE Vietnã,0,0,1,1
