Ordem,País,Ouro,Prata,Bronze,Total
1,USA Estados Unidos,46,37,38,121
2,GBR Grã-Bretanha,27,23,17,67
3,CHN China,26,18,26,70
4,RUS Rússia,19,17,20,56
5,GER Alemanha,17,10,15,42
6,JPN Japão,12,8,21,41
7,FRA França,10,18,14,42
8,KOR Coreia do Sul,9,3,9,21
9,ITA Itália,8,12,8,28
10,AUS Austrália,8,11,10,29
11,NED Países Baixos,8,7,4,19
12,HUN Hungria,8,3,4,15
13,BRA Brasil,7,6,6,19
14,ESP Espanha,7,4,6,17
15,KEN Quênia,6,6,1,13
16,JAM Jamaica,6,3,2,11
17,CRO Croácia,5,3,2,10
18,CUB Cuba,5,2,4,11
19,NZL Nova Zelândia,4,9,5,18
20,CAN Canadá,4,3,15,22
21,UZB Uzbequistão,4,2,7,13
22,KAZ Cazaquistão,3,5,10,18
23,COL Colômbia,3,2,3,8
24,SUI Suíça,3,2,2,7
25,IRI Irã,3,1,4,8
26,GRE Grécia,3,1,2,6
27,ARG Argentina,3,1,0,4
28,DEN Dinamarca,2,6,7,15
29,SWE Suécia,2,6,3,11
30,RSA África do Sul,2,6,2,10
31,UKR Ucrânia,2,5,4,11
32,SRB Sérvia,2,4,2,8
33,POL Polônia,2,3,6,11
34,PRK Coreia do Norte,2,3,2,7
35,BEL Bélgica,2,2,2,6
35,THA Tailândia,2,2,2,6
37,SVK Eslováquia,2,2,0,4
38,GEO Geórgia,2,1,4,7
39,AZE Azerbaijão,1,7,10,18
40,BLR Bielorrússia,1,4,4,9
41,TUR Turquia,1,3,4,8
42,ARM Armênia,1,3,0,4
43,CZE República Checa,1,2,7,10
44,ETH Etiópia,1,2,5,8
45,SLO Eslovênia,1,2,1,4
46,INA Indonésia,1,2,0,3
47,ROU Romênia,1,1,2,4
48,BRN Barém,1,1,0,2
48,VIE Vietnã,1,1,0,2
50,TPE Taipé Chinês,1,0,2,3
51,BAH Bahamas,1,0,1,2
51,CIV Costa do Marfim,1,0,1,2
51,IOA Atletas Olímpicos Independentes,1,0,1,2
54,FIJ Fiji,1,0,0,1
54,JOR Jordânia,1,0,0,1
54,KOS Kosovo,1,0,0,1
54,PUR Porto Rico,1,0,0,1
54,SIN Singapura,1,0,0,1
54,TJK Tajiquistão,1,0,0,1
60,MAS Malásia,0,4,1,5
61,MEX México,0,3,2,5
62,VEN Venezuela,0,2,1,3
63,ALG Argélia,0,2,0,2
64,IRL Irlanda,0,2,0,2
65,LTU Lituânia,0,1,3,4
66,BUL Bulgária,0,1,2,3
67,IND Índia,0,1,1,2
67,MGL Mongólia,0,1,1,2
69,BDI Burundi,0,1,0,1
69,GRN Granada,0,1,0,1
69,NIG Níger,0,1,0,1
69,PHI Filipinas,0,1,0,1
69,QAT Catar,0,1,0,1
74,NOR Noruega,0,0,4,4
75,EGY Egito,0,0,3,3
75,TUN Tunísia,0,0,3,3
77,ISR Israel,0,0,2,2
78,AUT Áustria,0,0,1,1
78,DOM República Dominicana,0,0,1,1
78,EST Estônia,0,0,1,1
78,FIN Finlândia,0,0,1,1
78,MAR Marrocos,0,0,1,1
78,NGR Nigéria,0,0,1,1
78,POR Portugal,0,0,1,1
78,TTO Trinidad e Tobago,0,0,1,1
78,UAE Emirados Árabes Unidos,0,0,1,1
