Ordem,País,Ouro,Prata,Bronze,Total
1,URS União Soviética,43,29,31,103
2,USA Estados Unidos,34,21,16,71
3,ITA Itália,13,10,13,36
4,EUA Equipe Alemã Unida,12,19,11,42
5,AUS Austrália,8,8,6,22
6,TUR Turquia,7,2,0,9
7,HUN Hungria,6,8,7,21
8,JPN Japão,4,7,7,18
9,POL Polônia,4,6,11,21
10,TCH Checoslováquia,3,2,3,8
11,ROU Romênia,3,1,6,10
12,GBR Grã-Bretanha,2,6,12,20
13,DEN Dinamarca,2,3,1,6
14,NZL Nova Zelândia,2,0,1,3
15,BUL Bulgária,1,3,3,7
16,SWE Suécia,1,2,3,6
17,FIN Finlândia,1,1,3,5
18,AUT Áustria,1,1,0,2
18,YUG Iugoslávia,1,1,0,2
20,PAK Paquistão,1,0,1,2
21,ETH Etiópia,1,0,0,1
21,GRE Grécia,1,0,0,1
21,NOR Noruega,1,0,0,1
24,SUI Suíça,0,3,3,6
25,FRA França,0,2,3,5
26,BEL Bélgica,0,2,2,4
27,IRI Irã,0,1,3,4
28,NED Países Baixos,0,1,2,3
28,RSA África do Sul,0,1,2,3
30,ARG Argentina,0,1,1,2
30,EGY Egito,0,1,1,2
32,CAN Canadá,0,1,0,1
32,ROC República da China,0,1,0,1
32,GHA Gana,0,1,0,1
32,IND Índia,0,1,0,1
32,MAR Marrocos,0,1,0,1
32,POR Portugal,0,1,0,1
32,SIN Singapura,0,1,0,1
39,BRA Brasil,0,0,2,2
39,BWI Federação das Índias Ocidentais,0,0,2,2
41,IRQ Iraque,0,0,1,1
41,MEX México,0,0,1,1
41,ESP Espanha,0,0,1,1
41,VEN Venezuela,0,0,1,1
