Ordem,País,Ouro,Prata,Bronze,Total
1,USA Estados Unidos,37,24,32,93
2,RUS Rússia,32,28,29,89
3,CHN China,28,16,14,58
4,AUS Austrália,16,25,17,58
5,GER Alemanha,13,17,26,56
6,FRA França,13,14,11,38
7,ITA Itália,13,8,13,34
8,NED Países Baixos,12,9,4,25
9,CUB Cuba,11,11,7,29
10,GBR Grã-Bretanha,11,10,7,28
11,ROU Romênia,11,6,9,26
12,KOR Coreia do Sul,8,10,10,28
13,HUN Hungria,8,6,3,17
14,POL Polônia,6,5,3,14
15,JPN Japão,5,8,5,18
16,BUL Bulgária,5,6,2,13
17,GRE Grécia,4,6,3,13
18,SWE Suécia,4,5,3,12
19,NOR Noruega,4,3,3,10
20,ETH Etiópia,4,1,3,8
21,UKR Ucrânia,3,10,10,23
22,KAZ Cazaquistão,3,4,0,7
23,BLR Bielorrússia,3,3,11,17
24,CAN Canadá,3,3,8,14
25,ESP Espanha,3,3,5,11
26,TUR Turquia,3,0,2,5
27,IRI Irã,3,0,1,4
28,CZE República Checa,2,3,3,8
29,KEN Quênia,2,3,2,7
30,DEN Dinamarca,2,3,1,6
31,FIN Finlândia,2,1,1,4
32,AUT Áustria,2,1,0,3
33,LTU Lituânia,2,0,3,5
34,AZE Azerbaijão,2,0,1,3
34,BAH Bahamas,2,0,1,3
36,SLO Eslovênia,2,0,0,2
37,SUI Suíça,1,6,2,9
38,INA Indonésia,1,3,2,6
39,SVK Eslováquia,1,3,1,5
40,MEX México,1,2,3,6
41,NGR Nigéria,1,2,0,3
42,ALG Argélia,1,1,3,5
43,UZB Uzbequistão,1,1,2,4
44,LAT Letônia,1,1,1,3
44,YUG Iugoslávia,1,1,1,3
46,NZL Nova Zelândia,1,0,3,4
47,EST Estônia,1,0,2,3
47,THA Tailândia,1,0,2,3
49,CRO Croácia,1,0,1,2
50,CMR Camarões,1,0,0,1
50,COL Colômbia,1,0,0,1
50,MOZ Moçambique,1,0,0,1
53,BRA Brasil,0,6,6,12
54,JAM Jamaica,0,6,3,9
55,BEL Bélgica,0,2,3,5
55,RSA África do Sul,0,2,3,5
57,ARG Argentina,0,2,2,4
58,TPE Taipé Chinês,0,1,4,5
58,MAR Marrocos,0,1,4,5
60,PRK Coreia do Norte,0,1,3,4
61,MDA Moldávia,0,1,1,2
61,KSA Arábia Saudita,0,1,1,2
61,TRI Trinidad e Tobago,0,1,1,2
64,IRL Irlanda,0,1,0,1
64,SRI Sri Lanka,0,1,0,1
64,URU Uruguai,0,1,0,1
64,VIE Vietnã,0,1,0,1
68,GEO Geórgia,0,0,6,6
69,CRC Costa Rica,0,0,2,2
69,POR Portugal,0,0,2,2
71,ARM Armênia,0,0,1,1
71,BAR Barbados,0,0,1,1
71,CHI Chile,0,0,1,1
71,ISL Islândia,0,0,1,1
71,IND Índia,0,0,1,1
71,ISR Israel,0,0,1,1
71,KUW Kuwait,0,0,1,1
71,KGZ Quirguistão,0,0,1,1
71,MKD República da Macedônia,0,0,1,1
71,QAT Catar,0,0,1,1
