Ordem,País,Ouro,Prata,Bronze,Total
1,USA Estados Unidos,39,41,33,113
2,CHN China,38,32,19,89
3,JPN Japão,27,14,17,58
4,GBR Grã-Bretanha,22,20,22,64
5,ROC ROC,20,28,23,71
6,AUS Austrália,17,7,22,46
7,NED Países Baixos,10,12,14,36
8,FRA França,10,12,11,33
9,GER Alemanha,10,11,16,37
10,ITA Itália,10,10,20,40
11,CAN Canadá,7,7,10,24
12,BRA Brasil,7,6,8,21
13,NZL Nova Zelândia,7,6,7,20
14,CUB Cuba,7,3,5,15
15,HUN Hungria,6,7,7,20
16,KOR Coreia do Sul,6,4,10,20
17,POL Polônia,4,5,5,14
18,CZE República Checa,4,4,3,11
19,KEN Quênia,4,4,2,10
20,NOR Noruega,4,2,2,8
21,JAM Jamaica,4,1,4,9
22,ESP Espanha,3,8,6,17
23,SWE Suécia,3,6,0,9
24,SUI Suíça,3,4,6,13
25,DEN Dinamarca,3,4,4,11
26,CRO Croácia,3,3,2,8
27,IRI Irã,3,2,2,7
28,SRB Sérvia,3,1,5,9
29,BEL Bélgica,3,1,3,7
30,BUL Bulgária,3,1,2,6
31,SLO Eslovênia,3,1,1,5
32,UZB Uzbequistão,3,0,2,5
33,GEO Geórgia,2,5,1,8
34,TPE Taipé Chinês,2,4,6,12
35,TUR Turquia,2,2,9,13
36,GRE Grécia,2,1,1,4
36,UGA Uganda,2,1,1,4
38,ECU Equador,2,1,0,3
39,IRL Irlanda,2,0,2,4
39,ISR Israel,2,0,2,4
41,QAT Catar,2,0,1,3
42,BAH Bahamas,2,0,0,2
42,KOS Kosovo,2,0,0,2
44,UKR Ucrânia,1,6,12,19
45,BLR Bielorrússia,1,3,3,7
46,ROU Romênia,1,3,0,4
46,VEN Venezuela,1,3,0,4
48,IND Índia,1,2,4,7
49,HKG Hong Kong,1,2,3,6
50,PHI Filipinas,1,2,1,4
50,SVK Eslováquia,1,2,1,4
52,RSA África do Sul,1,2,0,3
53,AUT Áustria,1,1,5,7
54,EGY Egito,1,1,4,6
55,INA Indonésia,1,1,3,5
56,ETH Etiópia,1,1,2,4
56,POR Portugal,1,1,2,4
58,TUN Tunísia,1,1,0,2
59,EST Estônia,1,0,1,2
59,FIJ Fiji,1,0,1,2
59,LAT Letônia,1,0,1,2
59,THA Tailândia,1,0,1,2
63,BER Bermudas,1,0,0,1
63,MAR Marrocos,1,0,0,1
63,PUR Porto Rico,1,0,0,1
66,COL Colômbia,0,4,1,5
67,AZE Azerbaijão,0,3,4,7
68,DOM República Dominicana,0,3,2,5
69,ARM Armênia,0,2,2,4
70,KGZ Quirguistão,0,2,1,3
71,MGL Mongólia,0,1,3,4
72,ARG Argentina,0,1,2,3
72,SMR San Marino,0,1,2,3
74,JOR Jordânia,0,1,1,2
74,MAS Malásia,0,1,1,2
74,NGR Nigéria,0,1,1,2
77,BRN Barém,0,1,0,1
77,KSA Arábia Saudita,0,1,0,1
77,LTU Lituânia,0,1,0,1
77,MKD Macedônia do Norte,0,1,0,1
77,NAM Namíbia,0,1,0,1
77,TKM Turcomenistão,0,1,0,1
83,KAZ Cazaquistão,0,0,8,8
84,MEX México,0,0,4,4
85,FIN Finlândia,0,0,2,2
86,BOT Botsuana,0,0,1,1
86,BUR Burquina Fasso,0,0,1,1
86,CIV Costa do Marfim,0,0,1,1
86,GHA Gana,0,0,1,1
86,GRN Granada,0,0,1,1
86,KUW Kuwait,0,0,1,1
86,MDA Moldávia,0,0,1,1
86,SYR Síria,0,0,1,1
