No.,País,Jogos,Ouro,Prata,Bronze,Total
1,USA Estados Unidos,29,1101,880,781,2762
2,URS União Soviética,9,395,319,296,1010
3,CHN China,12,302,227,197,726
4,GBR Grã-Bretanha,30,300,338,344,982
5,FRA França,30,240,280,298,818
6,ITA Itália,29,228,201,228,657
7,GER Alemanha,18,213,218,254,685
8,JPN Japão,24,190,162,190,542
9,HUN Hungria,28,187,161,176,524
10,AUS Austrália,28,182,189,225,596
11,GDR Alemanha Oriental,5,153,129,127,409
12,SWE Suécia,29,152,180,182,514
13,RUS Rússia,6,148,125,153,426
14,NED Países Baixos,27,110,112,134,356
15,KOR Coreia do Sul,19,109,100,110,319
16,FIN Finlândia,27,101,85,119,305
17,ROU Romênia,23,93,102,124,319
18,CUB Cuba,22,87,73,90,250
19,CAN Canadá,28,80,116,157,353
20,POL Polônia,23,73,93,142,308
21,NOR Noruega,27,64,52,52,168
22,NZL Nova Zelândia,25,63,40,53,156
23,BUL Bulgária,22,57,89,85,231
24,FRG Alemanha Ocidental,5,56,67,81,204
25,SUI Suíça,29,54,81,78,213
26,ESP Espanha,25,53,76,56,185
27,DEN Dinamarca,29,50,80,84,214
28,TCH Checoslováquia,16,49,49,45,143
29,BEL Bélgica,28,46,55,64,165
30,EUN Equipa Unificada,1,45,38,29,112
31,TUR Turquia,24,41,29,42,112
32,BRA Brasil,24,40,49,81,170
33,KEN Quênia,16,39,44,41,124
34,UKR Ucrânia,7,38,41,72,151
35,GRE Grécia,30,36,45,46,127
36,EUA Equipe Alemã Unida,3,28,54,36,118
37,RSA África do Sul,21,28,36,31,95
38,YUG Iugoslávia,18,28,31,31,90
39,JAM Jamaica,19,27,39,27,93
40,IRI Irã,18,26,29,33,88
41,ETH Etiópia,14,23,12,23,58
42,ARG Argentina,25,21,26,30,77
43,ROC ROC,1,20,28,23,71
44,AUT Áustria,28,19,34,41,94
45,CZE Chéquia,7,19,21,27,67
46,PRK Coreia do Norte,10,16,16,22,54
47,KAZ Cazaquistão,7,15,21,36,72
48,CRO Croácia,8,14,13,14,41
49,BLR Bielorrússia,7,13,30,42,85
50,MEX México,24,13,24,36,73
51,IRL Irlanda,22,11,10,14,35
52,SVK Eslováquia,7,10,14,8,32
53,GEO Geórgia,7,10,12,18,40
54,EST Estônia,13,10,9,17,36
55,IND Índia,25,10,9,16,35
56,THA Tailândia,17,10,8,17,35
57,UZB Uzbequistão,7,10,6,20,36
58,INA Indonésia,16,8,14,15,37
59,EGY Egito,23,8,11,19,38
60,SLO Eslovênia,8,8,9,11,28
61,ZZX Equipa mista,3,8,5,4,17
62,BAH Bahamas,17,8,2,6,16
63,AZE Azerbaijão,7,7,14,28,49
64,TPE Taipé Chinês,15,7,11,18,36
65,MAR Marrocos,15,7,5,12,24
66,LTU Lituânia,10,6,7,13,26
67,SRB Sérvia,5,6,7,11,24
68,COL Colômbia,20,5,13,15,33
69,POR Portugal,25,5,9,14,28
70,ALG Argélia,14,5,4,8,17
71,TUN Tunísia,15,5,3,7,15
72,LAT Letônia,12,4,11,6,21
73,UGA Uganda,16,4,4,3,11
74,NGR Nigéria,17,3,11,13,27
75,VEN Venezuela,19,3,7,9,19
76,TRI Trinidad e Tobago,18,3,5,11,19
77,DOM República Dominicana,15,3,5,4,12
78,ANZ Australásia,2,3,4,5,12
79,ZIM Zimbabwe,14,3,4,1,8
80,PAK Paquistão,18,3,3,4,10
81,ECU Equador,15,3,2,0,5
82,ISR Israel,17,3,1,9,13
83,CMR Camarões,15,3,1,2,6
84,KOS Kosovo,2,3,0,0,3
85,MGL Mongólia,14,2,11,17,30
86,ARM Armênia,7,2,8,8,18
87,CHI Chile,24,2,7,4,13
88,HKG Hong Kong,17,2,3,4,9
89,PUR Porto Rico,19,2,2,6,10
89,URU Uruguai,22,2,2,6,10
91,BRN Barém,10,2,2,0,4
92,QAT Catar,10,2,1,5,8
93,FIJ Fiji,15,2,0,1,3
94,PHI Filipinas,22,1,5,8,14
95,Império Russo,3,1,4,3,8
96,VIE Vietnã,16,1,3,1,5
97,PER Peru,19,1,3,0,4
98,SIN Singapura,17,1,2,2,5
99,TJK Tajiquistão,7,1,1,2,4
99,CRC Costa Rica,16,1,1,2,4
99,CIV Costa do Marfim,14,1,1,2,4
99,SYR Síria,14,1,1,2,4
103,GRN Granada,10,1,1,1,3
103,JOR Jordânia,11,1,1,1,3
105,BDI Burundi,7,1,1,0,2
105,LUX Luxemburgo,24,1,1,0,2
107,PAN Panamá,18,1,0,2,3
108,IOA Atletas Olímpicos Independentes,3,1,0,1,2
108,UAE Emirados Árabes Unidos,10,1,0,1,2
108,MOZ Moçambique,11,1,0,1,2
108,SUR Suriname,13,1,0,1,2
108,BER Bermudas,19,1,0,1,2
113,MAS Malásia,14,0,8,5,13
114,NAM Namíbia,8,0,5,0,5
115,KGZ Quirguistão,7,0,3,4,7
116,MDA Moldávia,7,0,2,4,6
117,ISL Islândia,21,0,2,2,4
117,LIB Líbano,18,0,2,2,4
117,KSA Arábia Saudita,12,0,2,2,4
120,SCG Sérvia e Montenegro,1,0,2,0,2
120,SRI Sri Lanka,18,0,2,0,2
120,TAN Tanzânia,14,0,2,0,2
123,GHA Gana,15,0,1,4,5
124,BOH Boêmia,3,0,1,3,4
125,IOP Participantes Olímpicos Independentes,1,0,1,2,3
125,SMR San Marino,16,0,1,2,3
127,HAI Haiti,16,0,1,1,2
127,NIG Níger,13,0,1,1,2
127,ZAM Zâmbia,14,0,1,1,2
127,BOT Botsuana,11,0,1,1,2
127,MKD Macedônia do Norte,7,0,1,1,2
132,CYP Chipre,11,0,1,0,1
132,GAB Gabão,11,0,1,0,1
132,GUA Guatemala,15,0,1,0,1
132,MNE Montenegro,4,0,1,0,1
132,AHO Antilhas Neerlandesas,13,0,1,0,1
132,PAR Paraguai,13,0,1,0,1
132,SEN Senegal,15,0,1,0,1
132,SAM Samoa,10,0,1,0,1
132,SUD Sudão,13,0,1,0,1
132,TGA Tonga,10,0,1,0,1
132,ISV Ilhas Virgens Americanas,13,0,1,0,1
132,TKM Turcomenistão,7,0,1,0,1
132,ISV Ilhas Virgens Americanas,13,0,1,0,1
144,KUW Kuwait,13,0,0,3,3
145,AFG Afeganistão,15,0,0,2,2
145,BWI Federação das Índias Ocidentais,1,0,0,2,2
147,BAR Barbados,13,0,0,1,1
