Unnamed: 0_level_0,Paralimpíadas de Verão,Paralimpíadas de Verão,Paralimpíadas de Verão,Paralimpíadas de Verão,Paralimpíadas de Verão,Paralimpíadas de Inverno,Paralimpíadas de Inverno,Paralimpíadas de Inverno,Paralimpíadas de Inverno,Paralimpíadas de Inverno,Total combinado,Total combinado,Total combinado,Total combinado,Total combinado
Time (Código COI),№,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Total,№,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Total,№,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1,Total
África do Sul (RSA),11,121,95,88,304,5,0,0,0,0,16,121,95,88,304
Alemanha (GER) [a],8,199,266,253,718,9,109,85,79,274,17,308,351,331,992
Alemanha Ocidental (FRG) [b],8,322,260,246,828,4,32,43,35,110,12,354,303,281,938
Alemanha Oriental (GDR) [c],1,0,3,1,4,0,0,0,0,0,1,0,3,1,4
Angola (ANG),6,4,3,1,8,0,0,0,0,0,6,4,3,1,8
Arábia Saudita (KSA),6,1,2,2,5,0,0,0,0,0,6,1,2,2,5
Argélia (ALG),8,27,22,36,85,0,0,0,0,0,8,27,22,36,85
Argentina (ARG),16,31,66,69,165,4,0,0,0,0,20,31,66,69,165
Atletas Paralímpicos Neutros (NPA) [d],0,0,0,0,0,1,8,10,6,24,1,8,10,6,24
Austrália (AUS),16,389,422,394,1205,11,12,6,17,35,27,401,428,411,1240
Áustria (AUT),16,113,128,131,372,13,109,118,116,343,29,222,248,247,717
Azerbaijão (AZE),6,23,19,15,57,1,0,0,0,0,7,23,19,15,57
Bahamas (BAH),8,0,2,3,5,0,0,0,0,0,8,0,2,3,5
Barém (BRN),10,2,3,5,10,0,0,0,0,0,10,2,3,5,10
Bélgica (BEL),16,88,93,90,271,9,0,0,2,2,25,88,93,92,273
Bielorrússia (BLR),6,41,35,31,106,7,8,11,16,35,14,49,44,47,141
Bósnia e Herzegovina (BIH),6,2,3,1,6,4,0,0,0,0,10,2,3,1,6
Botsuana (BOT),3,1,0,0,1,0,0,0,0,0,3,1,0,0,1
Brasil (BRA),13,109,132,132,373,3,0,0,0,0,16,109,132,132,373
Bulgária (BUL),8,5,9,3,15,7,0,0,0,0,15,5,9,3,17
Cabo Verde (CPV),3,0,0,1,1,0,0,0,0,0,3,0,0,1,1
Canadá (CAN),14,400,340,346,1080,13,59,52,76,188,27,457,391,419,1268
Catar (QAT),5,0,2,1,3,0,0,0,0,0,5,0,2,1,3
Cazaquistão (KAZ),6,2,4,1,7,8,1,1,1,3,14,3,5,2,10
