Ordem,País,Ouro,Prata,Bronze,Total
1,CHN China,94,76,50,220
2,GBR Grã-Bretanha,49,44,31,124
3,USA Estados Unidos,36,42,27,105
4,NED Países Baixos,27,17,12,56
5,NPA Atletas Paralímpicos Neutros,26,22,23,71
6,BRA Brasil,25,26,38,89
7,ITA Itália,24,15,32,71
8,UKR Ucrânia,22,28,32,82
9,FRA França,19,28,28,75
10,AUS Austrália,18,17,28,63
11,JPN Japão,14,10,17,41
12,GER Alemanha,10,14,25,49
13,CAN Canadá,10,9,10,29
14,UZB Uzbequistão,10,9,7,26
15,IRI Irã,8,10,7,25
16,SUI Suíça,8,8,5,21
17,POL Polônia,8,6,9,23
18,ESP Espanha,7,11,22,40
19,IND Índia,7,9,13,29
20,COL Colômbia,7,7,14,28
21,BEL Bélgica,7,4,3,14
22,THA Tailândia,6,11,13,30
23,KOR Coreia do Sul,6,10,14,30
24,TUR Turquia,6,10,12,28
25,CUB Cuba,6,3,1,10
26,ALG Argélia,6,0,5,11
27,HUN Hungria,5,6,4,15
28,TUN Tunísia,5,3,3,11
29,AZE Azerbaijão,4,2,5,11
30,ISR Israel,4,2,4,10
31,MEX México,3,6,8,17
32,MAR Marrocos,3,6,6,15
33,HKG Hong Kong,3,4,1,8
34,GRE Grécia,3,3,7,13
35,VEN Venezuela,3,2,1,6
36,SVK Eslováquia,3,2,0,5
37,LAT Letônia,3,1,0,4
38,ARG Argentina,2,3,8,13
39,DEN Dinamarca,2,3,5,10
40,KAZ Cazaquistão,2,3,4,9
41,NGR Nigéria,2,3,2,7
42,EGY Egito,2,2,3,7
43,MAS Malásia,2,2,1,5
44,POR Portugal,2,1,4,7
45,ETH Etiópia,2,1,0,3
46,SIN Singapura,2,1,0,3
47,RSA África do Sul,2,0,4,6
48,ECU Equador,2,0,2,4
49,JOR Jordânia,2,0,1,3
50,CRC Costa Rica,2,0,0,2
51,INA Indonésia,1,8,5,14
52,GEO Geórgia,1,4,4,9
53,NZL Nova Zelândia,1,4,4,9
54,CZE Chéquia,1,4,3,8
55,NOR Noruega,1,3,3,7
56,IRL Irlanda,1,3,2,6
57,SRB Sérvia,1,3,2,6
58,MGL Mongólia,1,3,0,4
59,IRQ Iraque,1,1,3,5
60,CRO Croácia,1,1,2,4
61,CHI Chile,1,0,4,5
62,KUW Kuwait,1,0,1,2
63,NAM Namíbia,1,0,1,2
64,ROU Romênia,1,0,1,2
65,SLO Eslovênia,1,0,1,2
66,BUL Bulgária,1,0,0,1
67,KSA Arábia Saudita,1,0,0,1
68,PER Peru,1,0,0,1
69,TPE Taipé Chinês,0,3,2,5
70,AUT Áustria,0,3,1,4
71,BIH Bósnia e Herzegovina,0,2,0,2
72,FIN Finlândia,0,1,3,4
73,SWE Suécia,0,1,2,3
74,CYP Chipre,0,1,1,2
75,MDA Moldávia,0,1,1,2
76,KEN Quênia,0,1,0,1
77,SRI Sri Lanka,0,1,0,1
78,TTO Trinidad e Tobago,0,1,0,1
79,RPT Time Paralímpico de Refugiados,0,0,2,2
80,LTU Lituânia,0,0,1,1
81,LUX Luxemburgo,0,0,1,1
82,MNE Montenegro,0,0,1,1
83,MRI Maurício,0,0,1,1
84,NEP Nepal,0,0,1,1
85,PAK Paquistão,0,0,1,1
86,VIE Vietnã,0,0,1,1
