Ordem,País,Ouro,Prata,Bronze,Total
1,Estados Unidos,92,91,85,267
2,Alemanha Ocidental,77,64,48,189
3,Reino Unido,62,66,51,179
4,Canadá,54,42,57,153
5,França,45,48,49,142
6,Suécia,42,38,22,102
7,Coreia do Sul,40,35,19,94
8,Países Baixos,30,23,29,82
9,Dinamarca,25,18,22,65
10,Austrália,23,34,37,94
11,Polónia,22,25,34,81
12,União Soviética,21,19,15,55
13,Espanha,18,13,12,43
14,China,17,17,9,43
15,Itália,16,15,27,58
16,Japão,16,12,17,45
17,Bélgica,15,17,9,41
18,Israel,15,13,15,43
19,Irlanda,13,13,18,44
20,Áustria,13,7,15,35
21,Suíça,12,12,10,34
22,Finlândia,11,23,15,49
23,Noruega,11,11,13,35
24,México,8,9,6,23
25,Brasil,4,9,14,27
26,Kuwait,4,6,8,18
27,Iugoslávia,4,4,11,19
28,Irão,4,1,3,8
29,Portugal,3,4,5,12
30,Nova Zelândia,2,4,11,17
31,Islândia,2,2,8,12
32,Bulgária,2,1,0,3
33,Jamaica,1,4,3,8
34,Ilhas Feroé,1,3,3,7
35,Egito,1,2,3,6
36,Porto Rico,1,2,0,3
37,Barém,1,1,1,3
38,Guatemala,1,0,0,1
39,Argentina,0,7,2,9
40,Hungria,0,4,7,11
41,Quênia,0,4,1,5
42,Hong Kong,0,2,7,9
43,Grécia,0,1,3,4
44,Indonésia,0,1,0,1
44,Tchecoslováquia,0,1,0,1
44,Tailândia,0,1,0,1
47,Tunísia,0,0,2,2
48,Malta,0,0,1,1
