#,País,PIB,PIB (Valor Total),Crescimento do PIB,PIB per Capita
1,Estados Unidos,"$29,3 trilhões",$29.298.025.000.000,"2,8%",$86.145
2,China,"$18,75 trilhões",$18.749.759.000.000,5%,$13.314
3,Alemanha,"$4,68 trilhões",$4.684.182.000.000,"−0,5%",$56.087
4,Japão,"$4,02 trilhões",$4.019.382.000.000,"0,1%",$32.443
5,Índia,"$3,91 trilhões",$3.909.892.000.000,"6,5%",$2.695
6,Reino Unido,"$3,64 trilhões",$3.644.636.000.000,"1,1%",$52.648
7,França,"$3,16 trilhões",$3.160.902.000.000,"1,1%",$46.187
8,Itália,"$2,37 trilhões",$2.372.059.000.000,"0,7%",$40.224
9,Canadá,"$2,24 trilhões",$2.243.637.000.000,"1,6%",$54.531
10,Brasil,"$2,18 trilhões",$2.179.413.000.000,"3,4%",$10.252
11,Rússia,"$2,17 trilhões",$2.173.225.000.000,"4,3%",$14.871
12,Coreia do Sul,"$1,88 trilhões",$1.875.388.000.000,2%,$36.239
13,México,"$1,86 trilhões",$1.856.366.000.000,"1,4%",$14.034
14,Austrália,"$1,8 trilhões",$1.795.492.000.000,1%,$65.529
15,Espanha,"$1,73 trilhões",$1.725.152.000.000,"3,5%",$35.151
16,Indonésia,"$1,4 trilhões",$1.396.300.000.000,5%,$4.958
17,Turquia,"$1,36 trilhões",$1.358.251.000.000,"3,3%",$15.882
18,Arábia Saudita,"$1,24 trilhões",$1.239.805.000.000,2%,$35.122
19,Países Baixos,"$1,21 trilhões",$1.214.562.000.000,"1,1%",$67.690
20,Suíça,"$938,15 bilhões",$938.153.000.000,"1,4%",$104.681
21,Polônia,"$914,55 bilhões",$914.553.000.000,"2,9%",$24.973
22,Taiwan,$797 bilhões,$797.004.000.000,"4,8%",$34.060
23,Bélgica,"$664,37 bilhões",$664.365.000.000,1%,$56.221
24,Argentina,"$637,23 bilhões",$637.234.000.000,"−1,3%",$13.523
25,Irlanda,"$608,97 bilhões",$608.974.000.000,"2,6%",$112.356
26,Suécia,"$603,72 bilhões",$603.715.000.000,"0,8%",$57.020
27,Emirados Árabes Unidos,"$552,33 bilhões",$552.325.000.000,4%,$50.216
28,Singapura,"$547,39 bilhões",$547.387.000.000,"4,4%",$90.674
29,Israel,"$542,28 bilhões",$542.285.000.000,1%,$54.294
30,Tailândia,"$526,52 bilhões",$526.518.000.000,"2,5%",$7.493
31,Áustria,"$523,96 bilhões",$523.956.000.000,−1%,$57.208
32,Noruega,"$483,59 bilhões",$483.593.000.000,"2,1%",$86.587
33,Filipinas,"$461,62 bilhões",$461.617.000.000,"5,7%",$4.079
34,Vietnã,"$459,47 bilhões",$459.472.000.000,"7,1%",$4.536
35,Bangladesh,"$450,46 bilhões",$450.461.000.000,"4,2%",$2.619
36,Dinamarca,"$424,52 bilhões",$424.525.000.000,"3,5%",$71.214
37,Malásia,"$422,23 bilhões",$422.227.000.000,"5,1%",$12.619
38,Colômbia,"$418,82 bilhões",$418.818.000.000,"1,6%",$7.948
39,Irã,"$416,68 bilhões",$416.676.000.000,"3,7%",$4.810
40,Hong Kong,"$406,86 bilhões",$406.863.000.000,"2,5%",$54.244
41,África do Sul,"$401,08 bilhões",$401.076.000.000,"0,5%",$6.365
42,Egito,"$383,11 bilhões",$383.105.000.000,"2,4%",$3.570
43,Romênia,"$382,85 bilhões",$382.854.000.000,"0,8%",$20.210
44,Paquistão,"$371,41 bilhões",$371.408.000.000,"2,5%",$1.574
45,República Tcheca (Chéquia),"$347,03 bilhões",$347.034.000.000,"1,2%",$31.735
46,Chile,"$330,21 bilhões",$330.210.000.000,"2,6%",$16.439
47,Portugal,"$308,58 bilhões",$308.581.000.000,"1,9%",$28.887
48,Finlândia,"$298,61 bilhões",$298.607.000.000,"0,4%",$53.286
49,Peru,"$294,68 bilhões",$294.675.000.000,"3,3%",$8.650
50,Cazaquistão,"$291,48 bilhões",$291.480.000.000,"4,8%",$14.459
51,Iraque,"$278,77 bilhões",$278.771.000.000,"−0,2%",$6.277
52,Argélia,"$269,14 bilhões",$269.140.000.000,"3,7%",$5.772
53,Nova Zelândia,"$258,37 bilhões",$258.365.000.000,"−0,6%",$48.839
54,Grécia,"$257,07 bilhões",$257.067.000.000,"2,3%",$24.716
55,Nigéria,"$252,11 bilhões",$252.109.000.000,"4,1%",$1.084
56,Hungria,"$223,06 bilhões",$223.060.000.000,"0,5%",$23.272
57,Catar,"$219,63 bilhões",$219.631.000.000,"2,4%",$70.994
58,Cuba,"$201,99 bilhões (ONU, 2023)",$201.985.998.168,"−1,93%",$18.329
59,Ucrânia,"$190,69 bilhões",$190.687.000.000,"2,9%",$5.719
60,Marrocos,"$160,61 bilhões",$160.606.000.000,"3,8%",$4.298
61,Kuwait,"$160,23 bilhões",$160.226.000.000,"−2,6%",$31.971
62,Etiópia,"$142,07 bilhões",$142.073.000.000,"8,1%",$1.310
63,Eslováquia,"$141,73 bilhões",$141.733.000.000,"2,1%",$26.127
64,Porto Rico,"$125,84 bilhões",$125.842.000.000,"3,2%",$39.612
65,Equador,"$124,68 bilhões",$124.676.000.000,−2%,$6.939
66,República Dominicana,"$124,61 bilhões",$124.613.000.000,5%,$11.542
67,Venezuela,"$119,8 bilhões",$119.803.000.000,"5,3%",$4.510
68,Quênia,"$119,31 bilhões",$119.307.000.000,"4,7%",$2.275
69,Angola,"$115,21 bilhões",$115.214.000.000,"4,4%",$3.034
70,Uzbequistão,"$114,96 bilhões",$114.962.000.000,"6,5%",$3.113
71,Guatemala,"$113,19 bilhões",$113.190.000.000,"3,7%",$6.149
72,Bulgária,"$112,23 bilhões",$112.232.000.000,"2,8%",$17.435
73,Omã,"$106,94 bilhões",$106.943.000.000,"1,7%",$20.059
74,Sri Lanka,"$98,96 bilhões",$98.964.000.000,5%,$4.325
75,Costa Rica,"$95,36 bilhões",$95.365.000.000,"4,3%",$17.909
76,Luxemburgo,"$93,25 bilhões",$93.252.000.000,"0,4%",$138.757
77,Croácia,"$92,64 bilhões",$92.643.000.000,"3,9%",$24.025
78,Sérvia,"$89,07 bilhões",$89.074.000.000,"3,9%",$13.545
79,Costa do Marfim,"$87,1 bilhões",$87.096.000.000,6%,$2.723
80,Panamá,"$86,52 bilhões",$86.524.000.000,"2,7%",$19.187
81,Lituânia,"$84,85 bilhões",$84.847.000.000,"2,7%",$29.379
82,Gana,"$82,83 bilhões",$82.825.000.000,"5,7%",$2.406
83,Uruguai,"$80,96 bilhões",$80.961.000.000,"3,1%",$23.186
84,Tanzânia,"$79,24 bilhões",$79.236.000.000,"5,5%",$1.215
85,Bielorrússia,"$76,21 bilhões",$76.208.000.000,4%,$8.345
86,RD Congo,"$74,5 bilhões",$74.498.000.000,"6,5%",$722
87,Azerbaijão,"$74,32 bilhões",$74.316.000.000,"4,1%",$7.251
88,Eslovênia,"$72,95 bilhões",$72.950.000.000,"1,7%",$34.346
89,Turcomenistão,"$68,67 bilhões",$68.675.000.000,3%,$10.408
90,Mianmar,"$61,65 bilhões",$61.653.000.000,"−1,1%",$1.122
91,Uganda,"$56,23 bilhões",$56.232.000.000,"6,3%",$1.206
92,Camarões,"$54,39 bilhões",$54.394.000.000,"3,5%",$1.868
93,Jordânia,"$53,43 bilhões",$53.428.000.000,"2,5%",$4.693
94,Tunísia,"$52,92 bilhões",$52.925.000.000,"1,6%",$4.290
95,Macau,"$50,18 bilhões",$50.182.000.000,"8,8%",$72.907
96,Zimbábue,"$49,15 bilhões",$49.154.000.000,"1,7%",$2.893
97,Líbia,"$48,36 bilhões",$48.363.000.000,"1,9%",$6.996
98,Bahrein,"$47,11 bilhões",$47.110.000.000,"2,6%",$29.654
99,Bolívia,"$46,97 bilhões",$46.967.000.000,"0,7%",$3.822
100,Camboja,"$46,1 bilhões",$46.098.000.000,6%,$2.683
101,Paraguai,"$44,46 bilhões",$44.458.000.000,"4,2%",$6.456
